Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-04-14,MST3K Hobgoblins,,,4,,,2017-04-13
2017-04-24,The Room,2003,https://boxd.it/gGPu5,1,,,2017-04-24
2017-04-27,Middle School: The Worst Years of My Life,2016,https://boxd.it/gNw3X,2.5,,,2017-04-27
2018-09-25,The Astronomer's Dream,1898,https://boxd.it/wSmBJ,4,,,2018-09-25
2018-09-25,Birdemic: Shock and Terror,2010,https://boxd.it/wT0Tt,5,Yes,,2018-09-25
2019-10-11,Incel,2018,https://boxd.it/PT6Id,1,,,2019-10-11
2019-11-17,Ghost in the Shell,1995,https://boxd.it/S6hJF,4,,,2019-11-17
2020-05-03,Bombshell,2019,https://boxd.it/17yXIv,2.5,,,2020-05-03
2020-06-20,BlacKkKlansman,2018,https://boxd.it/1cW9Pp,3.5,,,2020-06-20
2020-07-30,T2 Trainspotting,2017,https://boxd.it/1h8fLN,2.5,,,2020-07-30
2020-07-30,Kill Bill: Vol. 1,2003,https://boxd.it/1h9JqH,4.5,Yes,,2020-07-30
2021-01-31,The Matrix,1999,https://boxd.it/1CQhdv,4.5,Yes,,2021-01-31
2021-11-28,Harold and Maude,1971,https://boxd.it/2jU5vd,5,Yes,,2021-11-28
2022-06-29,Carrie,1976,https://boxd.it/2YhK0V,4,,,2022-06-29
2022-07-27,Roundhay Garden Scene,1888,https://boxd.it/33QkIx,,Yes,,2022-07-27
2022-08-21,Dark Horse,2011,https://boxd.it/39j5BJ,3,,,2022-08-21
2022-10-08,Fireworks,1997,https://boxd.it/3izoHJ,5,Yes,,2022-10-08
