Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-08,2020 ,,https://boxd.it/4Xeqi,

Position,Name,Year,URL,Description
1,Soul,2020,https://boxd.it/ioLA,
2,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,
3,Bad Trip,2021,https://boxd.it/lgRG,
4,Tenet,2020,https://boxd.it/leq4,
5,The Invisible Man,2020,https://boxd.it/kWlA,
6,Bill & Ted Face the Music,2020,https://boxd.it/i7BI,
7,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
8,Irresistible,2020,https://boxd.it/lVwO,
9,Sonic the Hedgehog,2020,https://boxd.it/gdK8,
10,Wonder Woman 1984,2020,https://boxd.it/gBtA,
