Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-08-19,5 Star Films,,https://boxd.it/1cRDk,"I don't give out 5's very often, so when I do, you know it's something special. These are a select few films who got that prestigious number.

P.S., this is not a ranked list."

Position,Name,Year,URL,Description
1,King Kong,1933,https://boxd.it/2aMM,
2,Pulp Fiction,1994,https://boxd.it/29Pq,
3,American Movie,1999,https://boxd.it/1Oty,
4,Gone with the Wind,1939,https://boxd.it/29Fq,
5,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
6,"It's a Mad, Mad, Mad, Mad World",1963,https://boxd.it/1TvO,
7,The Wizard of Oz,1939,https://boxd.it/29Xu,
8,Star Wars,1977,https://boxd.it/72s,
9,The Empire Strikes Back,1980,https://boxd.it/27Vw,
10,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
11,GoodFellas,1990,https://boxd.it/29FA,
12,Evil Dead II,1987,https://boxd.it/29Ge,
13,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
14,Inglourious Basterds,2009,https://boxd.it/1JzG,
15,Clerks,1994,https://boxd.it/2706,
16,Psycho,1960,https://boxd.it/2ab2,
17,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
18,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
19,Submarine,2010,https://boxd.it/H4a,
20,My Dinner with Andre,1981,https://boxd.it/1vLe,
21,The Big Lebowski,1998,https://boxd.it/2b6C,
22,Adaptation.,2002,https://boxd.it/26mA,
23,This Is Spinal Tap,1984,https://boxd.it/1UOs,
24,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
25,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
26,Night of the Living Dead,1968,https://boxd.it/1WwA,
27,Dawn of the Dead,1978,https://boxd.it/29gU,
28,Donnie Darko,2001,https://boxd.it/2b2A,
29,The Great Escape,1963,https://boxd.it/22kA,
30,Fargo,1996,https://boxd.it/2aHM,
31,Gremlins,1984,https://boxd.it/29gg,
32,Alien,1979,https://boxd.it/2awY,
33,It's a Wonderful Life,1946,https://boxd.it/28xA,
34,Jaws,1975,https://boxd.it/2a5e,
35,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
36,Rocky,1976,https://boxd.it/28Uk,
37,Toy Story,1995,https://boxd.it/29qA,
38,The Blues Brothers,1980,https://boxd.it/2adi,
39,Ghostbusters,1984,https://boxd.it/g2w,
40,The Shining,1980,https://boxd.it/29Nu,
41,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
42,The Bride of Frankenstein,1935,https://boxd.it/2aPc,
43,First Blood,1982,https://boxd.it/28U0,
44,Rashomon,1950,https://boxd.it/2a9K,
45,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
46,Back to the Future,1985,https://boxd.it/2b8e,
47,Ed Wood,1994,https://boxd.it/2adM,
48,Taxi Driver,1976,https://boxd.it/2b8y,
49,Pan's Labyrinth,2006,https://boxd.it/28No,
50,Stalker,1979,https://boxd.it/28PO,
