Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-04-09,altman,,https://boxd.it/g8bNu,

Position,Name,Year,URL,Description
1,Nashville,1975,https://boxd.it/25GE,
2,Short Cuts,1993,https://boxd.it/29Nk,
3,Secret Honor,1984,https://boxd.it/EAs,
4,The Player,1992,https://boxd.it/1WlM,
5,The Long Goodbye,1973,https://boxd.it/281O,
6,M*A*S*H,1970,https://boxd.it/29U6,
7,Brewster McCloud,1970,https://boxd.it/1tIi,
8,California Split,1974,https://boxd.it/1hRs,
9,McCabe & Mrs. Miller,1971,https://boxd.it/1ooC,
