Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-11-22,Best films of 2021,yir2021,https://boxd.it/e8eBe,ranked list of everything i've seen (and will see) from this year.

Position,Name,Year,URL,Description
1,Drive My Car,2021,https://boxd.it/sv94,
2,Memoria,2021,https://boxd.it/iwtE,
3,Titane,2021,https://boxd.it/nlQC,
4,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,
5,Annette,2021,https://boxd.it/f0RS,
6,Pig,2021,https://boxd.it/nzoW,
7,The Beatles: Get Back,2021,https://boxd.it/xo7A,
8,Licorice Pizza,2021,https://boxd.it/qTKY,
9,The Matrix Resurrections,2021,https://boxd.it/n87k,
10,Red Rocket,2021,https://boxd.it/sGpi,
11,After Yang,2021,https://boxd.it/lx5a,
12,The French Dispatch,2021,https://boxd.it/jLP8,
13,Censor,2021,https://boxd.it/oHFS,
14,The Worst Person in the World,2021,https://boxd.it/oyws,
15,The Card Counter,2021,https://boxd.it/nTH0,
16,Belfast,2021,https://boxd.it/tefG,
17,Asakusa Kid,2021,https://boxd.it/sRiW,
18,The Sparks Brothers,2021,https://boxd.it/tboq,
19,Boiling Point,2021,https://boxd.it/uo2u,
20,Parallel Mothers,2021,https://boxd.it/sOP4,
21,Judas and the Black Messiah,2021,https://boxd.it/lsew,
22,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
23,The Power of the Dog,2021,https://boxd.it/m99E,
24,Halloween Kills,2021,https://boxd.it/mxzG,
25,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,https://boxd.it/8LnQ,
26,Zeros and Ones,2021,https://boxd.it/sDyG,
27,Nobody,2021,https://boxd.it/mLqS,
28,The Suicide Squad,2021,https://boxd.it/fw6O,
29,Dune,2021,https://boxd.it/fA7G,
30,No Time to Die,2021,https://boxd.it/cPX2,
31,Jungle Cruise,2021,https://boxd.it/g4YK,
32,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
33,The Green Knight,2021,https://boxd.it/kuy2,
34,The Scary of Sixty-First,2021,https://boxd.it/r6uY,
35,Godzilla vs. Kong,2021,https://boxd.it/e0qK,
36,Last Night in Soho,2021,https://boxd.it/lbJC,
37,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
38,Black Widow,2021,https://boxd.it/hWV8,
39,Don't Look Up,2021,https://boxd.it/o0Hc,
40,Prisoners of the Ghostland,2021,https://boxd.it/j0NY,
