Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-09-25,Big Boy's October Extravaganza 2: Electric Boogaloo,,https://boxd.it/24mrq,"We're back! This year will be a random clusterfuck of things that I've wanted to see for a long time, and maybe some new stuff that I have no clue about.

I'll review a few of these. You're fucking crazy if you think I'll review them all. There's only so many times you can use ""it was scary!!!11111"" before it gets boring.

For many of these films I will be joined by my friend Angus, as well as others, hopefully.

One more thing. If I don't make it through these films, I have to sit through ""Kickassia"" and ""To Boldly Flee"" on the weekend following October. God help me if that's the case.

Enjoy..?"

Position,Name,Year,URL,Description
1,Birdemic: Shock and Terror,2010,https://boxd.it/12Gk,
2,The Bride of Frankenstein,1935,https://boxd.it/2aPc,
3,The Blob,1988,https://boxd.it/1YgY,
4,They Live,1988,https://boxd.it/20lm,
5,Gremlins 2: The New Batch,1990,https://boxd.it/29g6,
6,The Invisible Man,1933,https://boxd.it/1VoK,
7,It Follows,2014,https://boxd.it/87wo,
8,Faust : apparition de Méphistophélès,1897,https://boxd.it/5OBg,
9,The Haunted Castle,1897,https://boxd.it/6Pki,
10,Videodrome,1983,https://boxd.it/29uC,
11,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
12,The Texas Chainsaw Massacre 2,1986,https://boxd.it/1Kk8,
13,Leatherface: The Texas Chainsaw Massacre III,1990,https://boxd.it/1wyK,
14,The Return of the Texas Chainsaw Massacre,1995,https://boxd.it/1JH6,
15,Mulholland Drive,2001,https://boxd.it/297o,
16,Mandy,2018,https://boxd.it/gtti,
17,Blue Velvet,1986,https://boxd.it/29BI,
18,A Ghost Story,2017,https://boxd.it/fb0K,
19,Eyes Without a Face,1960,https://boxd.it/1j9i,
20,Child's Play,1988,https://boxd.it/1VTo,
21,Nosferatu,1922,https://boxd.it/29TM,
22,Jacob's Ladder,1990,https://boxd.it/270g,
23,Kill List,2011,https://boxd.it/2z4g,
24,Freddy vs. Jason,2003,https://boxd.it/21FC,
25,Jason X,2001,https://boxd.it/1TM6,
26,Rosemary's Baby,1968,https://boxd.it/29zM,
27,Suspiria,1977,https://boxd.it/1SNW,
28,The Evil Dead,1981,https://boxd.it/29Go,
29,Evil Dead II,1987,https://boxd.it/29Ge,
30,Trick 'r Treat,2007,https://boxd.it/1zvE,
31,Halloween,1978,https://boxd.it/2wRu,
