Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-10-31,"Big Meal's B-Movie ""Marathon""",,https://boxd.it/29jSe,"(""Marathon"" in quotations because it's hardly that).

In which I watch, like, 15 shitty movies as punishment for not finishing my 31-film goal throughout October."

Position,Name,Year,URL,Description
1,Freddy Got Fingered,2001,https://boxd.it/1QGk,
2,The Happening,2008,https://boxd.it/200o,
3,Samurai Cop 2: Deadly Vengeance,2015,https://boxd.it/8NIw,
4,The Last Vampire On Earth,2010,https://boxd.it/4yu2,
5,Battlefield Earth,2000,https://boxd.it/231O,
6,The Taming of the Shrim,2016,https://boxd.it/dk4W,
7,9/11,2017,https://boxd.it/gg1A,
8,The Amazing Bulk,2012,https://boxd.it/3G3c,
9,Poultrygeist: Night of the Chicken Dead,2006,https://boxd.it/1ISi,
10,Catwoman,2004,https://boxd.it/2aBY,
11,Baby Geniuses,1999,https://boxd.it/1AIO,
12,Movie 43,2013,https://boxd.it/37qK,
13,Birdemic 2: The Resurrection,2013,https://boxd.it/5HK6,
14,Postal,2007,https://boxd.it/26pE,
15,Chopping Mall,1986,https://boxd.it/1ow2,
16,I-Be Area,2007,https://boxd.it/6VHs,
