Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-13,black film,,https://boxd.it/j5W6o,

Position,Name,Year,URL,Description
1,Killer of Sheep,1978,https://boxd.it/1rPc,
2,Black Girl,1966,https://boxd.it/3jIQ,
3,To Sleep with Anger,1990,https://boxd.it/3iqG,
4,Boyz n the Hood,1991,https://boxd.it/29Ug,
5,Black Dynamite,2009,https://boxd.it/1wX6,
6,Sorry to Bother You,2018,https://boxd.it/f21E,
7,Uptight,1968,https://boxd.it/41Ye,
8,The Spook Who Sat by the Door,1973,https://boxd.it/bxY,
9,Truck Turner,1974,https://boxd.it/1B1c,
10,Malcolm X,1992,https://boxd.it/27WE,
11,Sweet Sweetback's Baadasssss Song,1971,https://boxd.it/22xa,
12,Watermelon Man,1970,https://boxd.it/WuM,
13,The Story of a Three-Day Pass,1968,https://boxd.it/3kgS,
