Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-02-16,Coen's ,,https://boxd.it/frEww,

Position,Name,Year,URL,Description
1,Fargo,1996,https://boxd.it/2aHM,
2,Barton Fink,1991,https://boxd.it/2aFQ,
3,The Big Lebowski,1998,https://boxd.it/2b6C,
4,A Serious Man,2009,https://boxd.it/1RFW,
5,Raising Arizona,1987,https://boxd.it/2avQ,
6,Blood Simple,1984,https://boxd.it/1U16,
7,No Country for Old Men,2007,https://boxd.it/21ew,
8,True Grit,2010,https://boxd.it/Sog,
9,Miller's Crossing,1990,https://boxd.it/2avG,
10,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
