Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-01-31,Criterion Channel Watches ,,https://boxd.it/4Igf2,In order.

Position,Name,Year,URL,Description
1,Meantime,1983,https://boxd.it/loW,
2,A Hard Day's Night,1964,https://boxd.it/29LS,
3,Woyzeck,1979,https://boxd.it/1Wyc,
4,Weekend,1967,https://boxd.it/20Ac,
5,Good Morning,1959,https://boxd.it/2lkk,
6,Delicatessen,1991,https://boxd.it/29lK,
7,Tokyo Drifter,1966,https://boxd.it/OTY,
8,Youth of the Beast,1963,https://boxd.it/179q,
9,Three Outlaw Samurai,1964,https://boxd.it/jni,
10,Fighting Elegy,1966,https://boxd.it/WbU,
11,Adaptation.,2002,https://boxd.it/26mA,
12,House,1977,https://boxd.it/1vsm,
13,The 39 Steps,1935,https://boxd.it/2aKc,
14,Alexander Nevsky,1938,https://boxd.it/1WKC,
15,In the Mood for Love,2000,https://boxd.it/29tE,
16,Alphaville,1965,https://boxd.it/20AG,
17,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
18,Death Race 2000,1975,https://boxd.it/1QuI,
19,Stray Dog,1949,https://boxd.it/1ltu,
