Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-07-11,Daily Film Challenge (August),,https://boxd.it/19vno,"I saw some other people doing this, so I decided to mark down certain films I'll be watching each night of August. The rankings mean the day I'll be watching them, this is not a ""ranked"" list, per se. "

Position,Name,Year,URL,Description
1,Four Lions,2010,https://boxd.it/18do,
2,Dunkirk,2017,https://boxd.it/d0Y6,
3,Swiss Army Man,2016,https://boxd.it/bDG2,
4,Snowpiercer,2013,https://boxd.it/3Icg,
5,Suspiria,1977,https://boxd.it/1SNW,
6,A Simple Plan,1998,https://boxd.it/1WMo,
7,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
8,Eraserhead,1977,https://boxd.it/299u,
9,Kingpin,1996,https://boxd.it/1TB8,
10,The Adventures of Baron Munchausen,1988,https://boxd.it/1NXs,
11,Theatre of Blood,1973,https://boxd.it/1psg,
12,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,
13,Office Space,1999,https://boxd.it/28Em,
14,Dark City,1998,https://boxd.it/26uk,
15,Akira,1988,https://boxd.it/2b1i,
16,The Stuff,1985,https://boxd.it/1GQa,
17,The Fisher King,1991,https://boxd.it/2aWM,
18,The Host,2006,https://boxd.it/28ZY,
19,Gimme Shelter,1970,https://boxd.it/2b42,
20,The Wicker Man,1973,https://boxd.it/1KnG,
21,Legend,1985,https://boxd.it/1SCY,
22,Drag Me to Hell,2009,https://boxd.it/1Jzw,
23,Insomnia,2002,https://boxd.it/2aB0,
24,Princess Mononoke,1997,https://boxd.it/2b4w,
25,Anvil! The Story of Anvil,2008,https://boxd.it/1HzO,
26,Train to Busan,2016,https://boxd.it/dSQU,
27,Blade,1998,https://boxd.it/1a8A,
28,Pee-wee's Big Adventure,1985,https://boxd.it/22Lw,
29,The Fifth Element,1997,https://boxd.it/71k,
30,The Omen,1976,https://boxd.it/29By,
31,My Left Foot: The Story of Christy Brown,1989,https://boxd.it/1WW4,
