Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-26,David Rankenberg ,,https://boxd.it/dPago,i will add reviews for these sometime!!

Position,Name,Year,URL,Description
1,Crash,1996,https://boxd.it/29n2,
2,eXistenZ,1999,https://boxd.it/27Ni,
3,Scanners,1981,https://boxd.it/1YqE,
4,The Dead Zone,1983,https://boxd.it/1U6g,
5,The Brood,1979,https://boxd.it/1ovS,
6,Videodrome,1983,https://boxd.it/29uC,
7,Eastern Promises,2007,https://boxd.it/275q,
8,Crimes of the Future,2022,https://boxd.it/uTuY,
9,The Fly,1986,https://boxd.it/1YIe,
10,A History of Violence,2005,https://boxd.it/2bfa,
