Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-27,favourite films.,,https://boxd.it/faEKk,

Position,Name,Year,URL,Description
1,Chungking Express,1994,https://boxd.it/1UDa,
2,Ikiru,1952,https://boxd.it/251c,
3,Harold and Maude,1971,https://boxd.it/2axM,
4,Seven Samurai,1954,https://boxd.it/2axi,
5,Oldboy,2003,https://boxd.it/29R2,
6,Hard Boiled,1992,https://boxd.it/1T6a,
7,In the Mood for Love,2000,https://boxd.it/29tE,
8,Ratcatcher,1999,https://boxd.it/1mSg,
9,Boogie Nights,1997,https://boxd.it/23um,
10,Magnolia,1999,https://boxd.it/2aze,
11,Eraserhead,1977,https://boxd.it/299u,
12,"Paris, Texas",1984,https://boxd.it/29Ts,
13,Punch-Drunk Love,2002,https://boxd.it/20E4,
14,Rushmore,1998,https://boxd.it/1TAO,
15,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
16,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,
17,The Graduate,1967,https://boxd.it/18Im,
18,Ghost World,2001,https://boxd.it/28Dy,
19,Pierrot le Fou,1965,https://boxd.it/26j2,
20,House,1977,https://boxd.it/1vsm,
21,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs,
22,Nowhere,1997,https://boxd.it/286E,
23,"Synecdoche, New York",2008,https://boxd.it/23zw,
24,Do the Right Thing,1989,https://boxd.it/29gA,
25,Harakiri,1962,https://boxd.it/1NTU,
