Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-03-19,Favourite Films Of All Time,,https://boxd.it/111zo,This is my list of my favourite movies.

Position,Name,Year,URL,Description
1,King Kong,1933,https://boxd.it/2aMM,
2,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
3,The Big Lebowski,1998,https://boxd.it/2b6C,
4,Evil Dead II,1987,https://boxd.it/29Ge,
5,Taxi Driver,1976,https://boxd.it/2b8y,
6,Gremlins,1984,https://boxd.it/29gg,
7,The Great Escape,1963,https://boxd.it/22kA,
8,Ed Wood,1994,https://boxd.it/2adM,
9,RoboCop,1987,https://boxd.it/22Wu,
10,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
11,Fargo,1996,https://boxd.it/2aHM,
12,Ghostbusters,1984,https://boxd.it/g2w,
13,Amadeus,1984,https://boxd.it/2aH8,
14,My Dinner with Andre,1981,https://boxd.it/1vLe,
15,The Producers,1967,https://boxd.it/1lMm,
16,Hot Fuzz,2007,https://boxd.it/2416,
17,Star Wars,1977,https://boxd.it/72s,
18,Alien,1979,https://boxd.it/2awY,
19,Jaws,1975,https://boxd.it/2a5e,
20,Django Unchained,2012,https://boxd.it/2cCk,
21,Psycho,1960,https://boxd.it/2ab2,
22,The Empire Strikes Back,1980,https://boxd.it/27Vw,
23,GoodFellas,1990,https://boxd.it/29FA,
24,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
25,Halloween,1978,https://boxd.it/2wRu,
26,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
27,Clerks,1994,https://boxd.it/2706,
28,Adaptation.,2002,https://boxd.it/26mA,
29,"Synecdoche, New York",2008,https://boxd.it/23zw,
30,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
31,Groundhog Day,1993,https://boxd.it/2b3e,
32,Donnie Darko,2001,https://boxd.it/2b2A,
33,Back to the Future,1985,https://boxd.it/2b8e,
34,Bad Taste,1987,https://boxd.it/1Xq4,
35,Brazil,1985,https://boxd.it/2be2,
36,From Dusk Till Dawn,1996,https://boxd.it/29HQ,
37,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,
