Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-10,favourite films,,https://boxd.it/4Mn7s,"probably going to change fucking MASSIVELY at the end of the year, but we'll keep this one up until then (only making a change if i watch something that shoots into the top 3 or something)"

Position,Name,Year,URL,Description
1,Stalker,1979,https://boxd.it/28PO,
2,"Synecdoche, New York",2008,https://boxd.it/23zw,
3,The Big Lebowski,1998,https://boxd.it/2b6C,
4,A Field in England,2013,https://boxd.it/5tmk,
5,Naked,1993,https://boxd.it/1BT4,
6,Ran,1985,https://boxd.it/1Tlu,
7,Eraserhead,1977,https://boxd.it/299u,
8,The 400 Blows,1959,https://boxd.it/2b1C,
9,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
10,Rashomon,1950,https://boxd.it/2a9K,
11,My Dinner with Andre,1981,https://boxd.it/1vLe,
12,Delicatessen,1991,https://boxd.it/29lK,
13,American Movie,1999,https://boxd.it/1Oty,
14,A Woman Under the Influence,1974,https://boxd.it/1myg,
15,Ed Wood,1994,https://boxd.it/2adM,
16,Taxi Driver,1976,https://boxd.it/2b8y,
17,The Seventh Seal,1957,https://boxd.it/2ahO,
18,Adaptation.,2002,https://boxd.it/26mA,
19,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
20,Fargo,1996,https://boxd.it/2aHM,
