Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-04-15,Favourite Horror Films,,https://boxd.it/131CG,"Just a list of some horror movies I like. Some movies may defy being horror such as Gremlins and Shaun of the Dead, but they still have horror elements, so I'm counting them."

Position,Name,Year,URL,Description
1,Dawn of the Dead,1978,https://boxd.it/29gU,
2,Halloween,1978,https://boxd.it/2wRu,
3,Poltergeist,1982,https://boxd.it/2a0o,
4,Dracula,1931,https://boxd.it/2b34,
5,The Evil Dead,1981,https://boxd.it/29Go,
6,Evil Dead II,1987,https://boxd.it/29Ge,
7,Army of Darkness,1992,https://boxd.it/29G4,
8,Frankenstein,1931,https://boxd.it/25Te,
9,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
10,Gremlins,1984,https://boxd.it/29gg,
11,Alien,1979,https://boxd.it/2awY,
12,From Dusk Till Dawn,1996,https://boxd.it/29HQ,
13,The Invisible Man,1933,https://boxd.it/1VoK,
14,Shaun of the Dead,2004,https://boxd.it/29J8,
15,Night of the Creeps,1986,https://boxd.it/1LzI,
16,They Live,1988,https://boxd.it/20lm,
17,Bad Taste,1987,https://boxd.it/1Xq4,
