Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-02-06,Favourite Movies in no Order,,https://boxd.it/XtKQ,"I don't really feel comfortable ranking my favourite movies as of now, so here's a bunch of movies I love.

(if you're wondering, my two favourite films are King Kong and The Good, the Bad and the Ugly.)"

Position,Name,Year,URL,Description
1,King Kong,1933,https://boxd.it/2aMM,
2,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
3,The Big Lebowski,1998,https://boxd.it/2b6C,
4,Taxi Driver,1976,https://boxd.it/2b8y,
5,RoboCop,1987,https://boxd.it/22Wu,
6,This Is Spinal Tap,1984,https://boxd.it/1UOs,
7,The Great Escape,1963,https://boxd.it/22kA,
8,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
9,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
10,Brazil,1985,https://boxd.it/2be2,
11,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,
12,Dracula,1931,https://boxd.it/2b34,
13,Fargo,1996,https://boxd.it/2aHM,
14,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
15,Barton Fink,1991,https://boxd.it/2aFQ,
16,Ed Wood,1994,https://boxd.it/2adM,
17,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
18,The Blues Brothers,1980,https://boxd.it/2adi,
19,The Invisible Man,1933,https://boxd.it/1VoK,
20,Halloween,1978,https://boxd.it/2wRu,
21,The Producers,1967,https://boxd.it/1lMm,
22,Rocky,1976,https://boxd.it/28Uk,
23,Ghostbusters,1984,https://boxd.it/g2w,
24,Evil Dead II,1987,https://boxd.it/29Ge,
25,"Godzilla, King of the Monsters!",1956,https://boxd.it/1FW2,
26,Groundhog Day,1993,https://boxd.it/2b3e,
27,Alien,1979,https://boxd.it/2awY,
28,Blade Runner,1982,https://boxd.it/2bcA,
29,Gremlins,1984,https://boxd.it/29gg,
30,Adaptation.,2002,https://boxd.it/26mA,
