Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-09-26,favourites,,https://boxd.it/24tQ8,

Position,Name,Year,URL,Description
1,Eraserhead,1977,https://boxd.it/299u,
2,"Synecdoche, New York",2008,https://boxd.it/23zw,
3,Stalker,1979,https://boxd.it/28PO,
4,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
5,Rashomon,1950,https://boxd.it/2a9K,
6,Werner Herzog Eats His Shoe,1980,https://boxd.it/3pcw,
7,The 400 Blows,1959,https://boxd.it/2b1C,
8,A Field in England,2013,https://boxd.it/5tmk,
9,A Woman Under the Influence,1974,https://boxd.it/1myg,
10,F for Fake,1973,https://boxd.it/VxA,
11,My Dinner with Andre,1981,https://boxd.it/1vLe,
12,Lost in Translation,2003,https://boxd.it/2b0E,
13,Punch-Drunk Love,2002,https://boxd.it/20E4,
14,The Big Lebowski,1998,https://boxd.it/2b6C,
15,The Seventh Seal,1957,https://boxd.it/2ahO,
16,Ed Wood,1994,https://boxd.it/2adM,
17,Adaptation.,2002,https://boxd.it/26mA,
18,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
19,Pan's Labyrinth,2006,https://boxd.it/28No,
20,Taxi Driver,1976,https://boxd.it/2b8y,
