Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-08-28,favs,,https://boxd.it/dcXLC,

Position,Name,Year,URL,Description
1,Chungking Express,1994,https://boxd.it/1UDa,
2,Harold and Maude,1971,https://boxd.it/2axM,
3,Oldboy,2003,https://boxd.it/29R2,
4,Seven Samurai,1954,https://boxd.it/2axi,
5,Punch-Drunk Love,2002,https://boxd.it/20E4,
6,Hard Boiled,1992,https://boxd.it/1T6a,
7,Eraserhead,1977,https://boxd.it/299u,
8,Pierrot le Fou,1965,https://boxd.it/26j2,
9,Boogie Nights,1997,https://boxd.it/23um,
10,House,1977,https://boxd.it/1vsm,
11,Nowhere,1997,https://boxd.it/286E,
12,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,
13,Magnolia,1999,https://boxd.it/2aze,
14,Rushmore,1998,https://boxd.it/1TAO,
15,Why Don't You Play in Hell?,2013,https://boxd.it/4lnC,
16,Harakiri,1962,https://boxd.it/1NTU,
17,"Synecdoche, New York",2008,https://boxd.it/23zw,
18,Love Exposure,2008,https://boxd.it/1pDe,
19,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs,
20,The Graduate,1967,https://boxd.it/18Im,
21,Fallen Angels,1995,https://boxd.it/1UkW,
22,A Field in England,2013,https://boxd.it/5tmk,
23,Adaptation.,2002,https://boxd.it/26mA,
24,Fargo,1996,https://boxd.it/2aHM,
25,True Stories,1986,https://boxd.it/1wXU,
26,Withnail & I,1987,https://boxd.it/1Qa4,
27,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
28,Only God Forgives,2013,https://boxd.it/2HBs,
29,Mystery Train,1989,https://boxd.it/1Ub6,
30,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
31,"Paris, Texas",1984,https://boxd.it/29Ts,
32,Ikiru,1952,https://boxd.it/251c,
33,The Seventh Seal,1957,https://boxd.it/2ahO,
34,Shaun of the Dead,2004,https://boxd.it/29J8,
35,Fanny and Alexander,1982,https://boxd.it/22go,
36,Ali: Fear Eats the Soul,1974,https://boxd.it/2aRi,
37,Evil Dead II,1987,https://boxd.it/29Ge,
38,The Matrix,1999,https://boxd.it/2a1m,
39,Mulholland Drive,2001,https://boxd.it/297o,
40,Do the Right Thing,1989,https://boxd.it/29gA,
41,Good Morning,1959,https://boxd.it/2lkk,
42,Ghost World,2001,https://boxd.it/28Dy,
43,The Blues Brothers,1980,https://boxd.it/2adi,
44,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
45,Blue Velvet,1986,https://boxd.it/29BI,
46,The Apartment,1960,https://boxd.it/2aGE,
47,In the Mood for Love,2000,https://boxd.it/29tE,
48,The 400 Blows,1959,https://boxd.it/2b1C,
49,The Big Lebowski,1998,https://boxd.it/2b6C,
50,The Exorcist,1973,https://boxd.it/1Yoo,
