Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-01-22,February 2020,,https://boxd.it/4EL9c,

Position,Name,Year,URL,Description
1,Tokyo Drifter,1966,https://boxd.it/OTY,
2,Youth of the Beast,1963,https://boxd.it/179q,
3,Three Outlaw Samurai,1964,https://boxd.it/jni,
4,Dead or Alive,1999,https://boxd.it/1U9u,
5,Dead or Alive 2: Birds,2000,https://boxd.it/1Pbq,
6,Fighting Elegy,1966,https://boxd.it/WbU,
7,House,1977,https://boxd.it/1vsm,
8,In the Mood for Love,2000,https://boxd.it/29tE,
9,Sonatine,1993,https://boxd.it/20TI,
10,Antiporno,2016,https://boxd.it/eDjy,
11,The Happiness of the Katakuris,2001,https://boxd.it/1KDY,
12,Taipei Story,1985,https://boxd.it/3BkC,
13,Mother,2009,https://boxd.it/1m9g,
14,Suicide Club,2001,https://boxd.it/1RkY,
15,Porco Rosso,1992,https://boxd.it/1Tp2,
16,Samurai Rebellion,1967,https://boxd.it/2loc,
17,Battle Royale,2000,https://boxd.it/25zS,
18,Street of Shame,1956,https://boxd.it/UWO,
19,Sanshiro Sugata,1943,https://boxd.it/1cWC,
20,Drunken Angel,1948,https://boxd.it/1uYQ,
21,Samurai I: Musashi Miyamoto,1954,https://boxd.it/1jfg,
22,Samurai II: Duel at Ichijoji Temple,1955,https://boxd.it/1jf6,
23,Samurai III: Duel at Ganryu Island,1956,https://boxd.it/1jeM,
24,Love Exposure,2008,https://boxd.it/1pDe,
