Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-23,Godard,,https://boxd.it/io3ka,personal ranking of his (feature) films. 

Position,Name,Year,URL,Description
1,Pierrot le Fou,1965,https://boxd.it/26j2,
2,Breathless,1960,https://boxd.it/2aIK,
3,Weekend,1967,https://boxd.it/20Ac,
4,Masculin Féminin,1966,https://boxd.it/23UY,
5,La Chinoise,1967,https://boxd.it/28rC,
6,Contempt,1963,https://boxd.it/2aJe,
7,Made in U.S.A,1966,https://boxd.it/1nDw,
8,Vivre Sa Vie,1962,https://boxd.it/28s6,
9,Band of Outsiders,1964,https://boxd.it/20Aw,
10,Alphaville,1965,https://boxd.it/20AG,
11,A Woman Is a Woman,1961,https://boxd.it/1iUC,
