Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-08-30,Halloween 2017,,https://boxd.it/1dNzK,"Halloween is my favourite time of year, so I decided to make a big list of films I'll be watching. Some of these are films I watch every year, but I'm trying to watch a lot of new stuff as well.
"

Position,Name,Year,URL,Description
1,Halloween,1978,https://boxd.it/2wRu,
2,Halloween II,1981,https://boxd.it/1UeE,
3,Halloween III: Season of the Witch,1982,https://boxd.it/1VFc,
4,The Omen,1976,https://boxd.it/29By,
5,The Evil Dead,1981,https://boxd.it/29Go,
6,Evil Dead II,1987,https://boxd.it/29Ge,
7,Army of Darkness,1992,https://boxd.it/29G4,
8,Carrie,1976,https://boxd.it/20ZQ,
9,The Crazies,1973,https://boxd.it/1nwg,
10,Let the Right One In,2008,https://boxd.it/1Qr0,
11,The Wailing,2016,https://boxd.it/9fLy,
12,Dracula's Daughter,1936,https://boxd.it/1Azs,
13,Son of Frankenstein,1939,https://boxd.it/25Nq,
14,Dracula,1958,https://boxd.it/1STA,
15,Nosferatu,1922,https://boxd.it/29TM,
16,Nosferatu the Vampyre,1979,https://boxd.it/21J0,
17,The Blair Witch Project,1999,https://boxd.it/26ua,
18,Trick 'r Treat,2007,https://boxd.it/1zvE,
19,Friday the 13th,1980,https://boxd.it/24fs,
20,Friday the 13th Part 2,1981,https://boxd.it/1XXC,
21,Friday the 13th Part III,1982,https://boxd.it/1XX8,
22,Friday the 13th: The Final Chapter,1984,https://boxd.it/1XWO,
23,Friday the 13th: A New Beginning,1985,https://boxd.it/1XWE,
24,Friday the 13th Part VI: Jason Lives,1986,https://boxd.it/1WM4,
25,Friday the 13th Part VII: The New Blood,1988,https://boxd.it/1WDG,
26,Friday the 13th Part VIII: Jason Takes Manhattan,1989,https://boxd.it/1WDm,
27,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
28,A Nightmare on Elm Street 4: The Dream Master,1988,https://boxd.it/1X0U,
29,A Nightmare on Elm Street: The Dream Child,1989,https://boxd.it/1WWe,
30,Freddy's Dead: The Final Nightmare,1991,https://boxd.it/1Uea,
31,New Nightmare,1994,https://boxd.it/1TsU,
32,Freddy vs. Jason,2003,https://boxd.it/21FC,
33,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
34,The Texas Chainsaw Massacre 2,1986,https://boxd.it/1Kk8,
35,Dracula,1931,https://boxd.it/2b34,
36,Frankenstein,1931,https://boxd.it/25Te,
37,Bram Stoker's Dracula,1992,https://boxd.it/223a,
38,Christine,1983,https://boxd.it/1ZRQ,
39,King Kong,1933,https://boxd.it/2aMM,
40,Salem's Lot,1979,https://boxd.it/1U58,
41,Night of the Living Dead,1968,https://boxd.it/1WwA,
42,Day of the Dead,1985,https://boxd.it/20dM,
43,Eraserhead,1977,https://boxd.it/299u,
44,Re-Animator,1985,https://boxd.it/28hM,
45,Hellraiser,1987,https://boxd.it/1Zpi,
46,Candyman,1992,https://boxd.it/1Ys6,
47,Scream,1996,https://boxd.it/24EC,
48,Ringu,1998,https://boxd.it/26tw,
49,The Ring,2002,https://boxd.it/2a70,
50,Bud Abbott and Lou Costello Meet Frankenstein,1948,https://boxd.it/25O4,
51,White Zombie,1932,https://boxd.it/1t1e,
52,Carnival of Souls,1962,https://boxd.it/1KQ4,
53,The Birds,1963,https://boxd.it/2a6m,
54,The Haunting,1963,https://boxd.it/1T7M,
55,Godzilla vs. Destoroyah,1995,https://boxd.it/1RHy,
56,Godzilla: Final Wars,2004,https://boxd.it/1Lz4,
57,Crimson Peak,2015,https://boxd.it/62Ty,
58,Theatre of Blood,1973,https://boxd.it/1psg,
59,Dr. Phibes Rises Again,1972,https://boxd.it/1HhU,
60,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,
61,Phantom of the Paradise,1974,https://boxd.it/1s34,
62,The Howling,1981,https://boxd.it/1Uce,
63,The Blob,1958,https://boxd.it/1ZKA,
64,The 'Burbs,1989,https://boxd.it/1SDi,
65,The Wicker Man,1973,https://boxd.it/1KnG,
66,Body Snatchers,1993,https://boxd.it/23UE,
67,Psycho II,1983,https://boxd.it/1VUQ,
68,House,1986,https://boxd.it/1TTG,
69,Drag Me to Hell,2009,https://boxd.it/1Jzw,
70,Eyes Without a Face,1960,https://boxd.it/1j9i,
71,The Shining,1980,https://boxd.it/29Nu,
72,Phase IV,1974,https://boxd.it/iDY,
73,Troll 2,1990,https://boxd.it/1sTE,
74,The Thing,1982,https://boxd.it/294O,
75,Rosemary's Baby,1968,https://boxd.it/29zM,
76,The Exorcist,1973,https://boxd.it/1Yoo,
77,The Fog,1980,https://boxd.it/29Cc,
78,The Fly,1986,https://boxd.it/1YIe,
