Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-27,hard-drive,,https://boxd.it/eyJDM,

Position,Name,Year,URL,Description
1,The Adventure of Denchu-Kozo,1987,https://boxd.it/2hBm,
2,Gozu,2003,https://boxd.it/1RTa,
3,Red Post on Escher Street,2020,https://boxd.it/pdpi,
4,A Scene at the Sea,1991,https://boxd.it/1z10,
5,Kids Return,1996,https://boxd.it/1sfY,
6,Badlands,1973,https://boxd.it/25Fm,
7,The Matrix Revolutions,2003,https://boxd.it/2a12,
8,C'mon C'mon,2021,https://boxd.it/nrI0,
9,Dreams,1990,https://boxd.it/1ROu,
10,Bergman Island,2021,https://boxd.it/h86E,
11,The Angelic Conversation,1985,https://boxd.it/LyS,
12,The Young and the Damned,1950,https://boxd.it/29AA,
13,Shoplifters,2018,https://boxd.it/ifY6,
14,Suicide Club,2001,https://boxd.it/1RkY,
15,Nashville,1975,https://boxd.it/25GE,
16,Petite Maman,2021,https://boxd.it/s6je,
17,Notorious,1946,https://boxd.it/2aDK,
18,The Handmaiden,2016,https://boxd.it/948A,
19,Audition,1999,https://boxd.it/1UHm,
20,A Better Tomorrow,1986,https://boxd.it/1TLW,
21,Dogville,2003,https://boxd.it/2a8W,
22,Marie Antoinette,2006,https://boxd.it/27Wa,
23,Sunset Boulevard,1950,https://boxd.it/2a20,
24,Patriotism,1966,https://boxd.it/2pZ2,
25,Short Cuts,1993,https://boxd.it/29Nk,
26,Inherent Vice,2014,https://boxd.it/5hla,
27,Fireworks,1997,https://boxd.it/22mQ,
28,Kikujiro,1999,https://boxd.it/24xc,
29,Zatoichi,2003,https://boxd.it/2aMs,
30,Boiling Point,1990,https://boxd.it/1sQA,
31,Husbands,1970,https://boxd.it/zOY,
32,The Producers,1967,https://boxd.it/1lMm,
33,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,https://boxd.it/1Toy,
34,Red Rocket,2021,https://boxd.it/sGpi,
35,Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/1SIs,
36,Rio Bravo,1959,https://boxd.it/2aE4,
37,In Front of Your Face,2021,https://boxd.it/uVbk,
38,France,2021,https://boxd.it/mdP0,
39,Parallel Mothers,2021,https://boxd.it/sOP4,
40,Lamb,2021,https://boxd.it/tFwE,
41,The Velvet Underground,2021,https://boxd.it/jPXA,
