Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-29,jack lemmon,,https://boxd.it/haGgO,

Position,Name,Year,URL,Description
1,"Bell, Book and Candle",1958,https://boxd.it/27Eq,
2,Days of Wine and Roses,1962,https://boxd.it/1h4A,
3,Irma la Douce,1963,https://boxd.it/26sI,
4,The Great Race,1965,https://boxd.it/1TvY,
5,The Fortune Cookie,1966,https://boxd.it/27W0,
6,The Odd Couple,1968,https://boxd.it/1U32,
7,The April Fools,1969,https://boxd.it/3bkQ,
8,The Out-of-Towners,1970,https://boxd.it/1Dt8,
9,The Front Page,1974,https://boxd.it/299a,
