Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-11-22,January Watchlist,,https://boxd.it/2cp0S,

Position,Name,Year,URL,Description
1,In the Mood for Love,2000,https://boxd.it/29tE,
2,Fallen Angels,1995,https://boxd.it/1UkW,
3,Memories of Murder,2003,https://boxd.it/1TSo,
4,Kill List,2011,https://boxd.it/2z4g,
5,Six Shooter,2004,https://boxd.it/1wlG,
6,Caché,2005,https://boxd.it/2amY,
7,Seconds,1966,https://boxd.it/1Dbe,
8,The Comedy,2012,https://boxd.it/2XNO,
9,Scenes from a Marriage,1974,https://boxd.it/4kJC,
10,Sweet Sweetback's Baadasssss Song,1971,https://boxd.it/22xa,
11,Ratcatcher,1999,https://boxd.it/1mSg,
12,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,https://boxd.it/T18,
13,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY,
14,24 Hour Party People,2002,https://boxd.it/26nI,
15,The Loneliness of the Long Distance Runner,1962,https://boxd.it/1KOM,
16,Meantime,1983,https://boxd.it/loW,
17,Blow Up My Town,1968,https://boxd.it/FXW,
18,Mother,2009,https://boxd.it/1m9g,
19,Perfect Blue,1997,https://boxd.it/1W7A,
20,This Is England,2006,https://boxd.it/1T44,
