Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-12-27,john lennon brutally assaults cynthia ,,https://boxd.it/2idFQ,

Position,Name,Year,URL,Description
1,Blue,1993,https://boxd.it/3iyA,
2,The Idiots,1998,https://boxd.it/2amu,
3,Blind Chance,1987,https://boxd.it/2b4G,
4,Coffee and Cigarettes,2003,https://boxd.it/29nc,
5,Seconds,1966,https://boxd.it/1Dbe,
6,So Is This,1982,https://boxd.it/4p4Y,
7,Tokyo Story,1953,https://boxd.it/1HuY,
8,Punch-Drunk Love,2002,https://boxd.it/20E4,
9,Fantastic Planet,1973,https://boxd.it/1KnQ,
10,Vive L'Amour,1994,https://boxd.it/2wsa,
11,Man on the Tracks,1957,https://boxd.it/4hWo,
12,Häxan,1922,https://boxd.it/n4O,
13,The Bride Wore Black,1968,https://boxd.it/24Ia,
14,Close-Up,1990,https://boxd.it/1m9q,
15,Man Bites Dog,1992,https://boxd.it/1X7Q,
