Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-03,Kinepa Junpo watchlist,,https://boxd.it/ixpno,

Position,Name,Year,URL,Description
1,Floating Clouds,1955,https://boxd.it/2FLU,
2,A Sun-Tribe Myth from the Bakumatsu Era,1957,https://boxd.it/47wK,
3,Twenty-Four Eyes,1954,https://boxd.it/UJA,
4,Tange Sazen and the Pot Worth a Million Ryo,1935,https://boxd.it/3LU6,
5,The Family Game,1983,https://boxd.it/3TDi,
6,Suzaki Paradise: Red Light District,1956,https://boxd.it/47wA,
7,The Castle of Sand,1974,https://boxd.it/1nRe,
8,The Crucified Lovers,1954,https://boxd.it/1bMw,
9,Fall Guy,1982,https://boxd.it/1fHg,
10,Bloody Spear at Mount Fuji,1955,https://boxd.it/3giA,
11,Graveyard of Honor,1975,https://boxd.it/2pVa,
12,The Makioka Sisters,1983,https://boxd.it/XHC,
13,Who's Camus Anyway?,2005,https://boxd.it/vVw,
14,Tokyo Olympiad,1965,https://boxd.it/U1o,
15,Floating Weeds,1959,https://boxd.it/LZu,
16,Double Suicide,1969,https://boxd.it/OSQ,
17,Moving,1993,https://boxd.it/3RcO,
18,Crazed Fruit,1956,https://boxd.it/35g4,
19,"Go, Go Second Time Virgin",1969,https://boxd.it/2dkc,
20,Burst City,1982,https://boxd.it/12s8,
21,Swing Girls,2004,https://boxd.it/1ag0,
22,Departures,2008,https://boxd.it/1JFa,
23,The Last War,1961,https://boxd.it/2LH0,
24,The Rocking Horsemen,1992,https://boxd.it/4evO,
25,The Morning Schedule,1972,https://boxd.it/3ygi,
