Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-14,Korean cinema watchlist,,https://boxd.it/gYvsK,

Position,Name,Year,URL,Description
1,Oasis,2002,https://boxd.it/1sO0,
2,Poetry,2010,https://boxd.it/JAs,
3,Burning,2018,https://boxd.it/hHUa,
4,The Host,2006,https://boxd.it/28ZY,
5,The Handmaiden,2016,https://boxd.it/948A,
6,A Taxi Driver,2017,https://boxd.it/fwac,
7,House of Hummingbird,2019,https://boxd.it/jZ8C,
8,I Saw the Devil,2010,https://boxd.it/FaK,
9,Moonlit Winter,2019,https://boxd.it/lfnK,
10,A Bittersweet Life,2005,https://boxd.it/1U4Y,
11,Timeless Bottomless Bad Movie,1997,https://boxd.it/3sKm,
12,On the Beach at Night Alone,2017,https://boxd.it/fqEK,
13,The Woman Who Ran,2020,https://boxd.it/oEEi,
14,"Right Now, Wrong Then",2015,https://boxd.it/bWs4,
15,The Day He Arrives,2011,https://boxd.it/31L8,
16,Claire's Camera,2017,https://boxd.it/fl4i,
17,Thirst,2009,https://boxd.it/1Aqq,
18,A Tale of Two Sisters,2003,https://boxd.it/248m,
19,Aloners,2021,https://boxd.it/ujeK,
20,Barking Dogs Never Bite,2000,https://boxd.it/1BLa,
21,My Sassy Girl,2001,https://boxd.it/1Ury,
22,"I'm a Cyborg, But That's OK",2006,https://boxd.it/2328,
23,"The Good, The Bad, The Weird",2008,https://boxd.it/1MSG,
24,The City of Violence,2006,https://boxd.it/1Dda,
25,3-Iron,2004,https://boxd.it/28WK,
26,The Wailing,2016,https://boxd.it/9fLy,
27,On the Occasion of Remembering the Turning Gate,2002,https://boxd.it/wYm,
