Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-07-31,Letterboxd Showdown: Vacation Locations,showdown:vacation,https://boxd.it/1blT4,

Position,Name,Year,URL,Description
1,"Planes, Trains and Automobiles",1987,https://boxd.it/26zE,
2,Evil Dead II,1987,https://boxd.it/29Ge,
3,The Darjeeling Limited,2007,https://boxd.it/24as,
4,National Lampoon's Vacation,1983,https://boxd.it/1Uvq,
5,Jurassic Park,1993,https://boxd.it/2aA2,
6,Wet Hot American Summer,2001,https://boxd.it/27hw,
7,In Bruges,2008,https://boxd.it/20n8,
8,Up,2009,https://boxd.it/1OEc,
9,The Evil Dead,1981,https://boxd.it/29Go,
10,An American Werewolf in London,1981,https://boxd.it/29yk,
