Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-07-27,Letterboxd Showdown: Zombie Nation,showdown:zombie,https://boxd.it/1aVtO,"Some of my favourite zombie pictures. 
This list aint ranked, yo."

Position,Name,Year,URL,Description
1,Dawn of the Dead,1978,https://boxd.it/29gU,
2,Night of the Living Dead,1968,https://boxd.it/1WwA,
3,Braindead,1992,https://boxd.it/29Gy,
4,28 Days Later,2002,https://boxd.it/2aXU,
5,The Battery,2012,https://boxd.it/5qMk,
6,White Zombie,1932,https://boxd.it/1t1e,
7,Shaun of the Dead,2004,https://boxd.it/29J8,
8,Night of the Living Dead,1990,https://boxd.it/1Fwe,
9,Day of the Dead,1985,https://boxd.it/20dM,
10,28 Weeks Later,2007,https://boxd.it/28Bi,
11,Zombieland,2009,https://boxd.it/1En6,
12,Zombie Flesh Eaters,1979,https://boxd.it/217q,
13,The Return of the Living Dead,1985,https://boxd.it/1V3W,
