Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-28,mae movie recs,,https://boxd.it/h9SRA,

Position,Name,Year,URL,Description
1,Chungking Express,1994,https://boxd.it/1UDa,
2,Fallen Angels,1995,https://boxd.it/1UkW,
3,House,1977,https://boxd.it/1vsm,
4,Punch-Drunk Love,2002,https://boxd.it/20E4,
5,Joint Security Area,2000,https://boxd.it/26Ja,
6,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
7,Sympathy for Lady Vengeance,2005,https://boxd.it/248G,
8,eXistenZ,1999,https://boxd.it/27Ni,
9,Cure,1997,https://boxd.it/1blA,
10,"Paris, Texas",1984,https://boxd.it/29Ts,
11,Submarine,2010,https://boxd.it/H4a,
12,Mystery Train,1989,https://boxd.it/1Ub6,
13,Old Joy,2006,https://boxd.it/1tIW,
14,Wendy and Lucy,2008,https://boxd.it/1Zx2,
15,Velvet Goldmine,1998,https://boxd.it/2878,
16,Lost in Translation,2003,https://boxd.it/2b0E,
17,After Hours,1985,https://boxd.it/1VfS,
18,Ghost World,2001,https://boxd.it/28Dy,
