Letterboxd list export v7
Date,Name,Tags,URL,Description
2018-01-17,Mike And Angus's Mid-January Film Sploogefest,,https://boxd.it/1t9L4,"Me and my friend Angus are going to spend the rest of this month watching a film each day. There's no explicit order to the list, but this is all shit we're gonna watch. Enjoy?"

Position,Name,Year,URL,Description
1,Hour of the Wolf,1968,https://boxd.it/1H9G,
2,Ivan's Childhood,1962,https://boxd.it/1j6y,
3,Mulholland Drive,2001,https://boxd.it/297o,
4,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
5,Nosferatu,1922,https://boxd.it/29TM,
6,Touch of Evil,1958,https://boxd.it/28II,
7,The Third Man,1949,https://boxd.it/294E,
8,The Elephant Man,1980,https://boxd.it/27LQ,
9,Suspiria,1977,https://boxd.it/1SNW,
10,Opening Night,1977,https://boxd.it/1f4e,
11,Throne of Blood,1957,https://boxd.it/251w,
12,Nostalgia,1983,https://boxd.it/28Qi,
13,The Sacrifice,1986,https://boxd.it/1xg8,
14,Chungking Express,1994,https://boxd.it/1UDa,
15,Man with a Movie Camera,1929,https://boxd.it/1u7s,
