Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-21,MUBI watchlist,,https://boxd.it/gFXcM,

Position,Name,Year,URL,Description
1,Suspiria,1977,https://boxd.it/1SNW,
2,Amour,2012,https://boxd.it/34Q6,
3,Happy End,2017,https://boxd.it/dZ2C,
4,Walkabout,1971,https://boxd.it/1bsG,
5,The Host,2006,https://boxd.it/28ZY,
6,The Hunt,2012,https://boxd.it/3wEC,
7,The Square,2017,https://boxd.it/e5YW,
8,The General,1926,https://boxd.it/29co,
9,"My Son, My Son, What Have Ye Done",2009,https://boxd.it/SZ2,
10,The Skin I Live In,2011,https://boxd.it/99A,
11,Force Majeure,2014,https://boxd.it/7UcA,
12,Silence,2016,https://boxd.it/2cAo,
13,Like Someone in Love,2012,https://boxd.it/3tOu,
14,The Deep Blue Sea,2011,https://boxd.it/A4C,
15,Love & Friendship,2016,https://boxd.it/9nM0,
16,Eat Drink Man Woman,1994,https://boxd.it/1Wem,
17,"Oslo, August 31st",2011,https://boxd.it/2xQC,
18,Demonlover,2002,https://boxd.it/1xz0,
19,The Revenant,2015,https://boxd.it/8H5e,
20,Trash Humpers,2009,https://boxd.it/Mki,
21,Brother,1997,https://boxd.it/1CA8,
22,Family Life,1971,https://boxd.it/7cmw,
23,Swallow,2019,https://boxd.it/lA0i,
24,Primer,2004,https://boxd.it/6YA,
25,Barking Dogs Never Bite,2000,https://boxd.it/1BLa,
26,Wiener-Dog,2016,https://boxd.it/aD3M,
27,Pasolini,2014,https://boxd.it/8LIk,
28,Passion,2012,https://boxd.it/3G5W,
29,Reprise,2006,https://boxd.it/1Sji,
30,Under the Silver Lake,2018,https://boxd.it/dSAs,
