Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-07-08,My Favourite Directors,,https://boxd.it/19ecI,"Click ""Read Notes"" to see the director in question. The film listed is my personal favourite of theirs. 

This list is not ranked."

Position,Name,Year,URL,Description
1,Evil Dead II,1987,https://boxd.it/29Ge,Sam Raimi
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,Stanley Kubrick
3,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,Wes Anderson
4,Shaun of the Dead,2004,https://boxd.it/29J8,Edgar Wright
5,Dawn of the Dead,1978,https://boxd.it/29gU,George A. Romero
6,The Big Lebowski,1998,https://boxd.it/2b6C,Joel and Ethan Coen
7,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,Steven Spielberg
8,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,Sergio Leone
9,Gremlins,1984,https://boxd.it/29gg,Joe Dante
10,The Blues Brothers,1980,https://boxd.it/2adi,John Landis
11,Time Bandits,1981,https://boxd.it/19KI,Terry Gilliam
12,The Terminator,1984,https://boxd.it/2aQY,James Cameron
13,What We Do in the Shadows,2014,https://boxd.it/7eQy,Taika Waititi
14,Halloween,1978,https://boxd.it/2wRu,John Carpenter
15,Clerks,1994,https://boxd.it/2706,Kevin Smith
16,Bowling for Columbine,2002,https://boxd.it/28Ls,Michael Moore
17,Back to the Future,1985,https://boxd.it/2b8e,Robert Zemeckis
18,Braindead,1992,https://boxd.it/29Gy,Peter Jackson
19,An American Werewolf in London,1981,https://boxd.it/29yk,"John Landis
"
20,Alien,1979,https://boxd.it/2awY,Ridley Scott
21,Spirited Away,2001,https://boxd.it/2b4m,Hayao Miyazaki
22,Psycho,1960,https://boxd.it/2ab2,Alfred Hitchcock
