Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-06-28,My Favourite Films of all Time,,https://boxd.it/18jAe,This list is regularly updated. 

Position,Name,Year,URL,Description
1,King Kong,1933,https://boxd.it/2aMM,
2,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
3,The Big Lebowski,1998,https://boxd.it/2b6C,
4,Evil Dead II,1987,https://boxd.it/29Ge,
5,Ghostbusters,1984,https://boxd.it/g2w,
6,RoboCop,1987,https://boxd.it/22Wu,
7,Halloween,1978,https://boxd.it/2wRu,
8,Amadeus,1984,https://boxd.it/2aH8,
9,Bad Taste,1987,https://boxd.it/1Xq4,
10,Star Wars,1977,https://boxd.it/72s,
11,The Untouchables,1987,https://boxd.it/2b6i,
12,My Dinner with Andre,1981,https://boxd.it/1vLe,
