Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-08-08,Naruse watchlist,,https://boxd.it/hKPi2,

Position,Name,Year,URL,Description
1,No Blood Relation,1932,https://boxd.it/36Rg,
2,Apart from You,1933,https://boxd.it/3coO,
3,Every-Night Dreams,1933,https://boxd.it/49kc,
4,Street Without End,1934,https://boxd.it/49k2,
5,Ginza Cosmetics,1951,https://boxd.it/3W9q,
6,Repast,1951,https://boxd.it/LlE,
7,Mother,1952,https://boxd.it/1010,
8,Wife,1953,https://boxd.it/4iVc,
9,Late Chrysanthemums,1954,https://boxd.it/19Cu,
10,Sound of the Mountain,1954,https://boxd.it/N3s,
11,Floating Clouds,1955,https://boxd.it/2FLU,
12,Flowing,1956,https://boxd.it/N3i,
13,When a Woman Ascends the Stairs,1960,https://boxd.it/19Ck,
14,Yearning,1964,https://boxd.it/3JYg,
15,Two in the Shadow,1967,https://boxd.it/49dU,
