Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-13,pixar,,https://boxd.it/fMPRi,

Position,Name,Year,URL,Description
1,Ratatouille,2007,https://boxd.it/27ww,
2,Up,2009,https://boxd.it/1OEc,
3,WALL·E,2008,https://boxd.it/1VEo,
4,Finding Nemo,2003,https://boxd.it/72i,
5,Toy Story,1995,https://boxd.it/29qA,
6,"Monsters, Inc.",2001,https://boxd.it/2a46,
7,Toy Story 2,1999,https://boxd.it/29qq,
8,Toy Story 3,2010,https://boxd.it/1WRe,
9,Inside Out,2015,https://boxd.it/4KHC,
10,Toy Story 4,2019,https://boxd.it/9ALu,
11,The Incredibles,2004,https://boxd.it/1XLm,
12,Monsters University,2013,https://boxd.it/bQm,
13,Coco,2017,https://boxd.it/bYJQ,
14,Soul,2020,https://boxd.it/ioLA,
15,Brave,2012,https://boxd.it/bVG,
16,A Bug's Life,1998,https://boxd.it/1Yyy,
17,Finding Dory,2016,https://boxd.it/4aAA,
18,Cars,2006,https://boxd.it/29ho,
19,Incredibles 2,2018,https://boxd.it/7IPg,
20,Cars 2,2011,https://boxd.it/H4Y,
