Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-31,The Coen Bros. Big Boy Ranked Order,,https://boxd.it/dSBni,

Position,Name,Year,URL,Description
1,Fargo,1996,https://boxd.it/2aHM,
2,The Big Lebowski,1998,https://boxd.it/2b6C,
3,Barton Fink,1991,https://boxd.it/2aFQ,
4,A Serious Man,2009,https://boxd.it/1RFW,
5,Raising Arizona,1987,https://boxd.it/2avQ,
6,No Country for Old Men,2007,https://boxd.it/21ew,
7,Blood Simple,1984,https://boxd.it/1U16,
8,Miller's Crossing,1990,https://boxd.it/2avG,
9,Burn After Reading,2008,https://boxd.it/23BW,
10,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
11,True Grit,2010,https://boxd.it/Sog,
12,"Hail, Caesar!",2016,https://boxd.it/881G,
