Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-27,The Comedy Project,,https://boxd.it/irqeU,

Position,Name,Year,URL,Description
1,A Fish Called Wanda,1988,https://boxd.it/29YC,
2,Kids in the Hall: Brain Candy,1996,https://boxd.it/1H18,
3,High Anxiety,1977,https://boxd.it/1RLK,
4,Shallow Hal,2001,https://boxd.it/1XBm,
5,Duck Soup,1933,https://boxd.it/25PG,
6,The Gold Rush,1925,https://boxd.it/29ce,
7,Monkey Business,1931,https://boxd.it/1P9O,
8,The Cameraman,1928,https://boxd.it/1jag,
9,"What's Up, Doc?",1972,https://boxd.it/21iy,
10,The Kentucky Fried Movie,1977,https://boxd.it/1TsA,
11,Animal House,1978,https://boxd.it/2062,
12,The Jerk,1979,https://boxd.it/21EO,
13,Waiting for Guffman,1996,https://boxd.it/1K4E,
14,Best in Show,2000,https://boxd.it/1Pqq,
15,A Mighty Wind,2003,https://boxd.it/1Qke,
16,The Foot Fist Way,2006,https://boxd.it/1Q4U,
17,Team America: World Police,2004,https://boxd.it/24QS,
18,World's Greatest Dad,2009,https://boxd.it/1DVG,
19,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
20,Bringing Up Baby,1938,https://boxd.it/29ks,
21,Mon Oncle,1958,https://boxd.it/2apy,
22,Trafic,1971,https://boxd.it/1TZu,
23,Jour de fête,1949,https://boxd.it/243Q,
24,Happy Gilmore,1996,https://boxd.it/1Yey,
25,The Wedding Singer,1998,https://boxd.it/1USO,
26,Billy Madison,1995,https://boxd.it/1UQI,
27,Trading Places,1983,https://boxd.it/28sK,
28,¡Three Amigos!,1986,https://boxd.it/20f4,
29,Dead Men Don't Wear Plaid,1982,https://boxd.it/1YFE,
30,Dirty Rotten Scoundrels,1988,https://boxd.it/1WZi,
31,Schlock,1973,https://boxd.it/v0g,
32,Tropic Thunder,2008,https://boxd.it/20WM,
33,Knocked Up,2007,https://boxd.it/23yS,
34,Funny People,2009,https://boxd.it/1CRy,
35,The 40 Year Old Virgin,2005,https://boxd.it/21hK,
36,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/1XYq,
37,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,
38,Anchorman 2: The Legend Continues,2013,https://boxd.it/3GNk,
39,The Other Guys,2010,https://boxd.it/1rtq,
40,Zoolander,2001,https://boxd.it/1YMA,
41,Frank,2014,https://boxd.it/5hII,
42,Adventureland,2009,https://boxd.it/1JTQ,
43,Top Secret!,1984,https://boxd.it/1ZSE,
44,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
45,The Naked Gun 2½: The Smell of Fear,1991,https://boxd.it/18Yu,
46,Naked Gun 33⅓: The Final Insult,1994,https://boxd.it/1afQ,
47,Jabberwocky,1977,https://boxd.it/1SYK,
48,Safety Last!,1923,https://boxd.it/1AkW,
49,Terms of Endearment,1983,https://boxd.it/1ULo,
50,Airheads,1994,https://boxd.it/1POW,
