Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-11-19,The GhostBeaters (Not Actually Affiliated With the RYM List But Rather Serverwide) 2017 Crimbus Stranglefuck Extravaganza II: Electric Boogaloo,,https://boxd.it/1kMeA,"The GhostBeaters Discord has decided to start fucking watching movies, and they're starting by watching 31 films throughout the month of December. 

Oh, here's the link if you want to join (it's a multimedia server where you can talk about film, games, music, whatever you want. There's also a metric FUCKTON of shitposting.):
https://discord.gg/BQzKnkn"

Position,Name,Year,URL,Description
1,The 400 Blows,1959,https://boxd.it/2b1C,"RATINGS

Mike: 10/10
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
2,The Man Who Sleeps,1974,https://boxd.it/3xwE,"RATINGS

Mike:
Fox: 10/10
Gabriel:
Connie:
Pretentious:
Chris:"
3,Elevator to the Gallows,1958,https://boxd.it/294u,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
4,Jules and Jim,1962,https://boxd.it/28rM,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
5,Le Samouraï,1967,https://boxd.it/22ZI,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
6,Breathless,1960,https://boxd.it/2aIK,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
7,PlayTime,1967,https://boxd.it/1WLK,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
8,Monsieur Hulot's Holiday,1953,https://boxd.it/29E8,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
9,Trafic,1971,https://boxd.it/1TZu,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
10,Vivre Sa Vie,1962,https://boxd.it/28s6,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
11,Mirror,1975,https://boxd.it/28Q8,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
12,Dead Man's Letters,1986,https://boxd.it/2wKy,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
13,The Cranes Are Flying,1957,https://boxd.it/169Y,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
14,My Friend Ivan Lapshin,1984,https://boxd.it/2VRE,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
15,Fate of a Man,1959,https://boxd.it/38oU,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
16,Battleship Potemkin,1925,https://boxd.it/29Vo,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
17,Koyaanisqatsi,1982,https://boxd.it/1U9E,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
18,The Color of Pomegranates,1969,https://boxd.it/1u94,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
19,Zvenygora,1928,https://boxd.it/2Sfi,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
20,Come and See,1985,https://boxd.it/1w9q,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
21,Das Boot,1981,https://boxd.it/2av2,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
22,The Lives of Others,2006,https://boxd.it/2a4A,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
23,Nosferatu the Vampyre,1979,https://boxd.it/21J0,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
24,Downfall,2004,https://boxd.it/2a04,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
25,Fitzcarraldo,1982,https://boxd.it/1YV8,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
26,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
27,M,1931,https://boxd.it/29vq,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
28,Triumph of the Will,1935,https://boxd.it/145A,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
29,Faust,1926,https://boxd.it/1Vxi,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
30,Werner Herzog Eats His Shoe,1980,https://boxd.it/3pcw,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
31,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm,"RATINGS

Mike:
Fox:
Gabriel:
Connie:
Pretentious:
Chris:"
