Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-03-24,The So Bad It's Good Bucket List,,https://boxd.it/11r8I,"This is a list of movies I consider to be 'so bad they're good'. If you love bad movies, this is the list for you."

Position,Name,Year,URL,Description
1,Troll 2,1990,https://boxd.it/1sTE,
2,Samurai Cop,1991,https://boxd.it/3Na,
3,Miami Connection,1987,https://boxd.it/hMU,
4,Low Blow,1986,https://boxd.it/Duo,
5,Birdemic: Shock and Terror,2010,https://boxd.it/12Gk,
6,Battlefield Earth,2000,https://boxd.it/231O,
7,Glen or Glenda,1953,https://boxd.it/1yuq,
8,Plan 9 from Outer Space,1957,https://boxd.it/1W50,
9,The Giant Claw,1957,https://boxd.it/1bmy,
10,The Room,2003,https://boxd.it/1ICY,
11,Manos: The Hands of Fate,1966,https://boxd.it/1ANa,
12,Things,1989,https://boxd.it/2SpC,
13,The Amazing Bulk,2012,https://boxd.it/3G3c,
14,Hard Ticket to Hawaii,1987,https://boxd.it/1uEw,
15,The Wicker Man,2006,https://boxd.it/1XZS,
16,Over the Top,1987,https://boxd.it/2852,
17,Death Race 2000,1975,https://boxd.it/1QuI,
18,Maximum Overdrive,1986,https://boxd.it/1XnO,
19,Deadly Prey,1987,https://boxd.it/22CY,
