Letterboxd list export v7
Date,Name,Tags,URL,Description
2017-07-18,Top 10 Horror Films of all Time,,https://boxd.it/1a6LM,

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,
2,Dawn of the Dead,1978,https://boxd.it/29gU,
3,Halloween,1978,https://boxd.it/2wRu,
4,Dracula,1931,https://boxd.it/2b34,
5,Evil Dead II,1987,https://boxd.it/29Ge,
6,Braindead,1992,https://boxd.it/29Gy,
7,Jaws,1975,https://boxd.it/2a5e,
8,Night of the Living Dead,1968,https://boxd.it/1WwA,
9,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
10,Fright Night,1985,https://boxd.it/1T4e,
