Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-08,TS,,https://boxd.it/iBDxg,

Position,Name,Year,URL,Description
1,Suspiria,2018,https://boxd.it/cioI,
2,Only Lovers Left Alive,2013,https://boxd.it/4O1U,
3,The Dead Don't Die,2019,https://boxd.it/juZg,
4,Michael Clayton,2007,https://boxd.it/2466,
5,Orlando,1992,https://boxd.it/1Z1K,
6,I Am Love,2009,https://boxd.it/10ac,
7,The Zero Theorem,2013,https://boxd.it/4WDW,
8,Last and First Men,2020,https://boxd.it/kKi0,
9,Caravaggio,1986,https://boxd.it/1DjC,
10,Blue,1993,https://boxd.it/3iyA,
11,Thumbsucker,2005,https://boxd.it/28DS,
12,The Limits of Control,2009,https://boxd.it/20po,
13,Edward II,1991,https://boxd.it/TVA,
14,The War Zone,1999,https://boxd.it/W90,
15,Wittgenstein,1993,https://boxd.it/jeK,
16,The Garden,1990,https://boxd.it/3J5A,
17,The Last of England,1987,https://boxd.it/Y4c,
18,Friendship's Death,1987,https://boxd.it/6NPI,
19,War Requiem,1989,https://boxd.it/Y7U,
20,Orbital: The Box,1996,https://boxd.it/Cs70,
