Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-09,twenty twenty two,yir2022,https://boxd.it/gwzwU,

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,The Batman,2022,https://boxd.it/eDGs,
3,Crimes of the Future,2022,https://boxd.it/uTuY,
4,Jackass Forever,2022,https://boxd.it/opUg,
5,Elvis,2022,https://boxd.it/mK4w,
6,Turning Red,2022,https://boxd.it/ipkq,
7,Funny Pages,2022,https://boxd.it/lrlm,
8,Blonde,2022,https://boxd.it/9AG0,
9,Nope,2022,https://boxd.it/sDCe,
10,The Northman,2022,https://boxd.it/nK2s,
11,Moonfall,2022,https://boxd.it/ejwM,
12,X,2022,https://boxd.it/sxVa,
13,Thor: Love and Thunder,2022,https://boxd.it/mMAY,
