Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-26,watchlist: criterion channel,,https://boxd.it/fac04,

Position,Name,Year,URL,Description
1,One Way Ticket to Love,1960,https://boxd.it/5lOK,
2,Our Marriage,1962,https://boxd.it/6uuQ,
3,Killers on Parade,1961,https://boxd.it/4ke0,
4,The Snow Flurry,1959,https://boxd.it/5ewu,
5,Jubilation Street,1944,https://boxd.it/5cQW,
6,Yearning,1964,https://boxd.it/3JYg,
7,When a Woman Ascends the Stairs,1960,https://boxd.it/19Ck,
8,Woman in the Dunes,1964,https://boxd.it/1JNS,
9,Bob le Flambeur,1956,https://boxd.it/1uC6,
10,Fireworks Over the Sea,1951,https://boxd.it/6rSA,
11,Silence,1971,https://boxd.it/3f7m,
12,"Flunky, Work Hard!",1931,https://boxd.it/49km,
13,The Inheritance,1962,https://boxd.it/4Z88,
14,The Pornographers,1966,https://boxd.it/Wco,
15,Tokyo Olympiad,1965,https://boxd.it/U1o,
16,Asako I & II,2018,https://boxd.it/hyNk,
17,Happy Hour,2015,https://boxd.it/bXge,
18,Wrong Move,1975,https://boxd.it/1EcM,
19,Kill!,1968,https://boxd.it/14D8,
20,I Am Waiting,1957,https://boxd.it/2qgi,
21,Claire's Knee,1970,https://boxd.it/26aO,
22,Paris Is Burning,1990,https://boxd.it/1jzg,
23,Belle de Jour,1967,https://boxd.it/29Uq,
24,The Exterminating Angel,1962,https://boxd.it/1nRS,
25,Loves of a Blonde,1965,https://boxd.it/13NG,
26,What Happened Was...,1994,https://boxd.it/2WAk,
27,Tampopo,1985,https://boxd.it/1SZe,
28,"I Was Born, But...",1932,https://boxd.it/1pS4,
29,Donkey Skin,1970,https://boxd.it/22V2,
30,The Flowers of St. Francis,1950,https://boxd.it/oTS,
31,Still Walking,2008,https://boxd.it/1wvm,
32,Snow Trail,1947,https://boxd.it/4a9k,
33,Boy,1969,https://boxd.it/3xKQ,
34,Violence at Noon,1966,https://boxd.it/Wc4,
35,Pleasures of the Flesh,1965,https://boxd.it/2psW,
36,The Ceremony,1971,https://boxd.it/3hWQ,
37,Three Resurrected Drunkards,1968,https://boxd.it/3Fc8,
38,Japanese Summer: Double Suicide,1967,https://boxd.it/Iha,
39,Alice in the Cities,1974,https://boxd.it/27cG,
40,The Thick-Walled Room,1956,https://boxd.it/4Z0o,
41,American Boy: A Profile of Steven Prince,1978,https://boxd.it/1fqu,
