Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-31,Wes Anderson,,https://boxd.it/dSBgc,

Position,Name,Year,URL,Description
1,Rushmore,1998,https://boxd.it/1TAO,
2,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
3,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
4,Bottle Rocket,1996,https://boxd.it/1PDa,
5,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
6,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
7,The Darjeeling Limited,2007,https://boxd.it/24as,
8,Moonrise Kingdom,2012,https://boxd.it/2Wng,
