Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-02-01,wong kar wai: ranked,,https://boxd.it/ffrDA,

Position,Name,Year,URL,Description
1,Chungking Express,1994,https://boxd.it/1UDa,
2,In the Mood for Love,2000,https://boxd.it/29tE,
3,Fallen Angels,1995,https://boxd.it/1UkW,
4,Happy Together,1997,https://boxd.it/1Ha0,
5,2046,2004,https://boxd.it/29tu,
6,Days of Being Wild,1990,https://boxd.it/1HbC,
7,Ashes of Time,1994,https://boxd.it/111K,
8,The Grandmaster,2013,https://boxd.it/QU0,
9,As Tears Go By,1988,https://boxd.it/1ybI,
