Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-08,world cinema watchlist!,,https://boxd.it/ePsb6,

Position,Name,Year,URL,Description
1,The Man Who Sleeps,1974,https://boxd.it/3xwE,
2,Antichrist,2009,https://boxd.it/1Inu,
3,Camera Buff,1979,https://boxd.it/XzS,
4,Flee,2021,https://boxd.it/ponM,
5,Cosmopolis,2012,https://boxd.it/H4O,
6,The Battle of Algiers,1966,https://boxd.it/1IRY,
7,Z,1969,https://boxd.it/26pY,
8,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
9,Samsara,2011,https://boxd.it/3ada,
10,You Will Die at Twenty,2019,https://boxd.it/mQsa,
11,Rubber,2010,https://boxd.it/P2m,
12,Beasts of No Nation,2015,https://boxd.it/8Lp8,
13,The Raid,2011,https://boxd.it/3hBy,
14,The Raid 2,2014,https://boxd.it/5uz0,
15,Pulgasari,1985,https://boxd.it/1sL6,
16,A Separation,2011,https://boxd.it/gvo,
17,Close-Up,1990,https://boxd.it/1m9q,
18,Winter Sleep,2014,https://boxd.it/7Ua0,
19,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG,
20,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,
21,The Painted Bird,2019,https://boxd.it/h8u2,
22,The Favourite,2018,https://boxd.it/d2hI,
23,In the Name of the Father,1993,https://boxd.it/20I6,
24,Waltz with Bashir,2008,https://boxd.it/1ZFA,
25,Pather Panchali,1955,https://boxd.it/22yC,
26,The Color of Pomegranates,1969,https://boxd.it/1u94,
27,Lingua Franca,2019,https://boxd.it/lrp4,
28,The Dance of Reality,2013,https://boxd.it/4qFw,
29,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY,
30,Elementa,2020,https://boxd.it/qOy4,
31,Monos,2019,https://boxd.it/eJGe,
32,Lamb,2021,https://boxd.it/tFwE,
33,Dead Birds,1963,https://boxd.it/2BA4,
34,Cleaners,2019,https://boxd.it/n6HU,
35,Cemetery of Splendor,2015,https://boxd.it/9tIo,
36,The Street Player,1983,https://boxd.it/7EvQ,
37,The Harder They Come,1972,https://boxd.it/20RC,
