Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-04-24,"Hail, Caesar!",2016,https://boxd.it/gHKlp,3.5,Yes,,2017-01-02
2017-04-24,Gremlins,1984,https://boxd.it/gHKh3,5,Yes,,2017-01-05
2020-02-09,The Invisible Man,1933,https://boxd.it/YSFvd,3.5,,,2017-01-05
2020-02-09,Army of Darkness,1992,https://boxd.it/YSFBP,4,,,2017-01-08
2017-04-24,Beavis and Butt-Head Do America,1996,https://boxd.it/gHKeX,3,,,2017-01-10
2020-02-09,A Nightmare on Elm Street,1984,https://boxd.it/YSFI7,3.5,,,2017-01-10
2017-04-24,Frankenstein,1931,https://boxd.it/gHKcx,4,,,2017-01-13
2017-04-24,Fargo,1996,https://boxd.it/gHK8v,5,,,2017-01-18
2017-04-24,Fantastic Mr. Fox,2009,https://boxd.it/gHKdZ,5,Yes,,2017-01-18
2017-04-24,The Grand Budapest Hotel,2014,https://boxd.it/gHK5h,5,Yes,,2017-01-19
2017-04-24,Pulp Fiction,1994,https://boxd.it/gHK6p,5,,w/ angus,2017-01-19
2017-04-24,Blade Runner,1982,https://boxd.it/gHK7H,4,,,2017-01-19
2017-08-25,Children of Men,2006,https://boxd.it/jy5Ad,4.5,,,2017-01-22
2017-01-26,La La Land,2016,https://boxd.it/drV6B,3.5,,,2017-01-26
2017-01-26,The Nice Guys,2016,https://boxd.it/drV7J,4.5,,,2017-01-26
2017-02-01,The Arrival of a Train at La Ciotat,1896,https://boxd.it/dzKcT,4,,,2017-01-31
2017-02-03,The Full Monty,1997,https://boxd.it/dCgqx,3.5,,,2017-02-03
2017-02-04,Life Itself,2014,https://boxd.it/dCFxX,4.5,,,2017-02-04
2017-02-04,Harvie Krumpet,2003,https://boxd.it/dCJVz,4.5,,,2017-02-04
2017-02-04,E.T. the Extra-Terrestrial,1982,https://boxd.it/dDrmj,4.5,Yes,,2017-02-04
2017-02-05,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/dE9ZT,5,,,2017-02-05
2017-02-06,Wayne's World,1992,https://boxd.it/dGmPL,3,,,2017-02-05
2017-02-06,Beetlejuice,1988,https://boxd.it/dGMtB,3.5,,,2017-02-06
2017-02-07,Bad Taste,1987,https://boxd.it/dHedL,4.5,,,2017-02-06
2017-02-10,Fahrenheit 9/11,2004,https://boxd.it/dLxXB,4,,,2017-02-09
2017-02-10,Indiana Jones and the Last Crusade,1989,https://boxd.it/dLP1l,5,,,2017-02-10
2017-02-11,Samurai Cop,1991,https://boxd.it/dNATB,2,,,2017-02-11
2017-02-15,They Live,1988,https://boxd.it/e9E2l,4.5,,,2017-02-15
2017-02-17,Kes,1969,https://boxd.it/elYZ7,4.5,,w/ dad,2017-02-17
2017-02-18,The King of Comedy,1982,https://boxd.it/epltf,4,,,2017-02-18
2017-02-18,Shin Godzilla,2016,https://boxd.it/epBsR,4,,w/ angus,2017-02-18
2017-02-18,"Godzilla, King of the Monsters!",1956,https://boxd.it/epJf7,4,,w/ angus,2017-02-18
2017-02-19,Groundhog Day,1993,https://boxd.it/erEWf,5,,,2017-02-19
2017-02-21,Taxi Driver,1976,https://boxd.it/eAnlJ,5,,,2017-02-21
2017-02-23,"The Good, the Bad and the Ugly",1966,https://boxd.it/eGpD3,5,,,2017-02-23
2017-02-24,This Is Spinal Tap,1984,https://boxd.it/eJ8qd,5,,,2017-02-24
2017-02-26,RoboCop,1987,https://boxd.it/eNh9X,5,,,2017-02-26
2017-03-01,True Lies,1994,https://boxd.it/eWDgp,4,,,2017-03-01
2017-03-02,Reservoir Dogs,1992,https://boxd.it/eZxHb,3.5,,,2017-03-02
2017-03-03,Inglourious Basterds,2009,https://boxd.it/f2g7r,5,,,2017-03-03
2017-03-04,The Great Wall,2016,https://boxd.it/f4LqN,2.5,,,2017-03-04
2017-03-05,Collateral,2004,https://boxd.it/f7QMb,4,,,2017-03-05
2017-03-09,Shrek,2001,https://boxd.it/fgVgH,3.5,,,2017-03-09
2017-03-11,Kong: Skull Island,2017,https://boxd.it/flQVZ,3,,,2017-03-11
2017-03-11,The Big Lebowski,1998,https://boxd.it/flSV3,5,Yes,,2017-03-11
2017-03-13,Hercules,2014,https://boxd.it/frepD,2.5,,,2017-03-13
2017-03-15,Adaptation.,2002,https://boxd.it/fvmmP,5,,,2017-03-15
2017-03-18,Burn After Reading,2008,https://boxd.it/fAaST,4,,,2017-03-18
2017-03-18,Night of the Creeps,1986,https://boxd.it/fBlHT,3.5,,,2017-03-18
2017-03-19,The Producers,1967,https://boxd.it/fCJT7,4.5,,,2017-03-19
2017-03-19,RoboCop 2,1990,https://boxd.it/fCSbt,3,,,2017-03-19
2017-03-19,Logan,2017,https://boxd.it/fDnMZ,5,,,2017-03-19
2017-03-20,My Dinner with Andre,1981,https://boxd.it/fG0WD,5,,,2017-03-20
2017-03-20,Raiders of the Lost Ark,1981,https://boxd.it/fG2xb,5,Yes,,2017-03-20
2017-03-21,Hercules,2005,https://boxd.it/fI2Vr,0.5,,,2017-03-21
2017-03-22,From Dusk Till Dawn,1996,https://boxd.it/fJSWD,4.5,,,2017-03-22
2017-03-23,Troll 2,1990,https://boxd.it/fLHlb,0.5,,,2017-03-23
2017-03-24,Psycho,1960,https://boxd.it/fN2g9,5,,,2017-03-24
2017-03-24,The Sixth Sense,1999,https://boxd.it/fN9K1,3.5,,,2017-03-24
2017-03-25,Airplane!,1980,https://boxd.it/fPuv1,5,,,2017-03-25
2017-03-25,Teenage Mutant Ninja Turtles,1990,https://boxd.it/fPRhB,3,,,2017-03-25
2017-03-26,Return of the Jedi,1983,https://boxd.it/fRHff,3,Yes,,2017-03-26
2017-03-29,Hercules,1997,https://boxd.it/fY3n3,3,,,2017-03-29
2017-03-29,Bill & Ted's Excellent Adventure,1989,https://boxd.it/fYc3V,4.5,,,2017-03-29
2017-04-01,The Killing,1956,https://boxd.it/g27Dn,4.5,,,2017-04-01
2017-04-02,Clerks,1994,https://boxd.it/g463R,5,,,2017-04-02
2017-04-02,Kill Bill: Vol. 1,2003,https://boxd.it/g4lkt,5,,,2017-04-02
2017-04-04,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/g8N6n,5,Yes,,2017-04-04
2017-04-06,Django Unchained,2012,https://boxd.it/gczzX,5,,,2017-04-06
2017-04-07,Clerks II,2006,https://boxd.it/gefFv,3.5,,,2017-04-07
2017-04-08,The Lego Batman Movie,2017,https://boxd.it/gfLzL,3,,,2017-04-08
2017-04-08,Jay and Silent Bob Strike Back,2001,https://boxd.it/gfSpX,3.5,,,2017-04-08
2017-04-08,Dogma,1999,https://boxd.it/ggDQB,4.5,,,2017-04-08
2017-04-12,Donnie Darko,2001,https://boxd.it/go8Zt,5,Yes,,2017-04-12
2017-04-14,Dawn of the Dead,1978,https://boxd.it/gqZCL,5,,,2017-04-14
2017-04-15,The Goonies,1985,https://boxd.it/gsfxf,4,,,2017-04-14
2017-04-15,Rumble in the Bronx,1995,https://boxd.it/gtvH3,3,,,2017-04-15
2017-04-16,The Legend of Drunken Master,1994,https://boxd.it/guPnT,3.5,,,2017-04-16
2017-04-20,GoodFellas,1990,https://boxd.it/gC50l,5,,,2017-04-20
2017-04-21,Darkman,1990,https://boxd.it/gCVHL,3,,,2017-04-21
2017-04-22,The Legend of Tarzan,2016,https://boxd.it/gF3HN,2.5,,,2017-04-22
2017-04-23,Operation Avalanche,2016,https://boxd.it/gGA7Z,3.5,,,2017-04-23
2017-04-23,Twelve Monkeys,1995,https://boxd.it/gGJkD,4.5,,,2017-04-23
2017-04-24,The Room,2003,https://boxd.it/gHtrP,1,,,2017-04-23
2017-04-24,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/gIuVD,4,,,2017-04-24
2017-04-25,Bullitt,1968,https://boxd.it/gJk7Z,3,,,2017-04-24
2017-04-26,The Commitments,1991,https://boxd.it/gLC9D,4,,,2017-04-26
2017-04-27,Middle School: The Worst Years of My Life,2016,https://boxd.it/gNJ3B,1.5,,,2017-04-27
2017-04-28,Evil Dead II,1987,https://boxd.it/gOAuv,5,Yes,,2017-04-28
2017-04-28,The King of Kong: A Fistful of Quarters,2007,https://boxd.it/gP06J,4,,,2017-04-28
2017-04-28,2001: A Space Odyssey,1968,https://boxd.it/gPe7V,5,,,2017-04-28
2017-04-28,A Trip to the Moon,1902,https://boxd.it/gPhUV,4,,,2017-04-28
2017-04-29,The Great Train Robbery,1903,https://boxd.it/gQnsv,4,,,2017-04-29
2017-04-29,Doodlebug,1997,https://boxd.it/gQnP5,4,,,2017-04-29
2017-04-29,In God We Trust,2000,https://boxd.it/gQowX,4,,,2017-04-29
2017-04-29,Hot Fuzz,2007,https://boxd.it/gQSaR,4.5,Yes,,2017-04-29
2017-04-30,Hi Stranger,2016,https://boxd.it/gSchb,3,,,2017-04-30
2017-05-01,The Shining,1980,https://boxd.it/gU3p5,5,,,2017-05-01
2017-05-02,A Close Shave,1995,https://boxd.it/gVvOp,4,Yes,,2017-05-02
2017-05-04,Star Wars,1977,https://boxd.it/gYvhL,5,Yes,,2017-05-04
2017-05-06,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/h1dHn,3,,,2017-05-06
2017-05-07,An American Werewolf in London,1981,https://boxd.it/h2ntd,4.5,,,2017-05-07
2017-05-07,Matinee,1993,https://boxd.it/h2Ain,4.5,,,2017-05-07
2017-05-12,The Big Lebowski,1998,https://boxd.it/hb5SR,5,Yes,,2017-05-12
2017-05-13,Aliens,1986,https://boxd.it/hch0p,4.5,Yes,,2017-05-13
2017-05-16,"Superman: Destruction, Inc.",1942,https://boxd.it/hfXgb,3,,,2017-05-16
2017-05-17,Helen of Troy,2003,https://boxd.it/hgRM3,2,,,2017-05-17
2017-05-18,Jack and Jill,2011,https://boxd.it/hiqon,0.5,Yes,,2017-05-18
2017-05-20,RoboCop,1987,https://boxd.it/hkPcv,4.5,Yes,,2017-05-20
2017-05-22,Prometheus,2012,https://boxd.it/hnReJ,3.5,,,2017-05-22
2017-05-23,How Not to Make a Movie,2013,https://boxd.it/hp7y3,4,Yes,,2017-05-23
2017-05-23,In the Mouth of Madness,1994,https://boxd.it/hp8Nt,3.5,,,2017-05-23
2017-05-23,Ed Wood,1994,https://boxd.it/hp9iB,5,Yes,,2017-05-23
2017-05-24,The Founder,2016,https://boxd.it/hqarV,3.5,,,2017-05-24
