Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-09,CHRISTMASWATCH 2022,,https://boxd.it/j3cMY,realised as i saw Gene Hackman running around in a santa suit in The French Connection that it's about time i sort this list out

Position,Name,Year,URL,Description
1,Make Way for Tomorrow,1937,https://boxd.it/10hC,
2,Eyes Wide Shut,1999,https://boxd.it/2axs,
3,The Shop Around the Corner,1940,https://boxd.it/1DFy,
4,All That Heaven Allows,1955,https://boxd.it/UNi,
5,How the Grinch Stole Christmas!,1966,https://boxd.it/1Qj6,
6,The Apartment,1960,https://boxd.it/2aGE,
7,Black Christmas,1974,https://boxd.it/1Js6,
8,Scrooged,1988,https://boxd.it/1Y9e,
9,Stalag 17,1953,https://boxd.it/29Xa,
10,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
11,Ikiru,1952,https://boxd.it/251c,
12,The Last Temptation of Christ,1988,https://boxd.it/1ULe,
13,A Simple Plan,1998,https://boxd.it/1WMo,
14,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,
15,The Long Day Closes,1992,https://boxd.it/EMy,
16,Fanny and Alexander,1982,https://boxd.it/22go,
17,Mr. Arkadin,1955,https://boxd.it/SZc,
18,Little Women,2019,https://boxd.it/aSVk,
19,Rocky,1976,https://boxd.it/28Uk,
20,Gremlins,1984,https://boxd.it/29gg,
21,Gremlins 2: The New Batch,1990,https://boxd.it/29g6,
22,A Charlie Brown Christmas,1965,https://boxd.it/1QDq,
23,Black Narcissus,1947,https://boxd.it/1Kce,
24,Home Alone,1990,https://boxd.it/29Fg,
25,It's a Wonderful Life,1946,https://boxd.it/28xA,
