Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-16,comedy list,,https://boxd.it/j9vGM,

Position,Name,Year,URL,Description
1,Best in Show,2000,https://boxd.it/1Pqq,
2,A Mighty Wind,2003,https://boxd.it/1Qke,
3,For Your Consideration,2006,https://boxd.it/1NmG,
4,A Fish Called Wanda,1988,https://boxd.it/29YC,
5,Wet Hot American Summer,2001,https://boxd.it/27hw,
6,The Jerk,1979,https://boxd.it/21EO,
7,The Man with Two Brains,1983,https://boxd.it/1TtI,
8,High Anxiety,1977,https://boxd.it/1RLK,
9,Silent Movie,1976,https://boxd.it/1UXO,
10,Monkey Business,1931,https://boxd.it/1P9O,
11,A New Leaf,1971,https://boxd.it/19FS,
12,Safety Last!,1923,https://boxd.it/1AkW,
13,The Gold Rush,1925,https://boxd.it/29ce,
14,"Steamboat Bill, Jr.",1928,https://boxd.it/1v9u,
15,The General,1926,https://boxd.it/29co,
16,Jour de fête,1949,https://boxd.it/243Q,
17,The League of Gentlemen,1960,https://boxd.it/MuC,
18,Young Frankenstein,1974,https://boxd.it/25To,
19,Spaceballs,1987,https://boxd.it/29cy,
20,Top Secret!,1984,https://boxd.it/1ZSE,
21,Something Wild,1986,https://boxd.it/1UbU,
22,Innerspace,1987,https://boxd.it/26yQ,
23,Citizen Ruth,1996,https://boxd.it/1Pco,
24,World's Greatest Dad,2009,https://boxd.it/1DVG,
25,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
26,Windy City Heat,2003,https://boxd.it/Lty,
27,Napoleon Dynamite,2004,https://boxd.it/20wu,
28,Coming to America,1988,https://boxd.it/1Ygu,
29,¡Three Amigos!,1986,https://boxd.it/20f4,
30,Caddyshack,1980,https://boxd.it/1SCO,
31,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,
32,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/1XYq,
33,Hot Rod,2007,https://boxd.it/1X9C,
34,Super Troopers,2001,https://boxd.it/12Rs,
35,BASEketball,1998,https://boxd.it/1OVs,
36,The 40 Year Old Virgin,2005,https://boxd.it/21hK,
37,Animal House,1978,https://boxd.it/2062,
38,Zoolander,2001,https://boxd.it/1YMA,
39,Tropic Thunder,2008,https://boxd.it/20WM,
40,Adventureland,2009,https://boxd.it/1JTQ,
41,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
42,The Man in the White Suit,1951,https://boxd.it/1gVS,
43,The Lavender Hill Mob,1951,https://boxd.it/1gkM,
44,Ruggles of Red Gap,1935,https://boxd.it/1bx2,
45,Rubber,2010,https://boxd.it/P2m,
46,The Kentucky Fried Movie,1977,https://boxd.it/1TsA,
47,Sweet Movie,1974,https://boxd.it/28BM,
48,Sullivan's Travels,1941,https://boxd.it/1Ko0,
49,The Ruling Class,1972,https://boxd.it/1km8,
50,What's New Pussycat?,1965,https://boxd.it/255S,
51,Trading Places,1983,https://boxd.it/28sK,
52,Dirty Rotten Scoundrels,1988,https://boxd.it/1WZi,
