Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-06-29,films i enjoy and like,topstats,https://boxd.it/hb0bO,

Position,Name,Year,URL,Description
1,Chungking Express,1994,https://boxd.it/1UDa,
2,Ikiru,1952,https://boxd.it/251c,
3,Harold and Maude,1971,https://boxd.it/2axM,
4,Seven Samurai,1954,https://boxd.it/2axi,
5,Rushmore,1998,https://boxd.it/1TAO,
6,Oldboy,2003,https://boxd.it/29R2,
7,Hard Boiled,1992,https://boxd.it/1T6a,
8,In the Mood for Love,2000,https://boxd.it/29tE,
9,Ratcatcher,1999,https://boxd.it/1mSg,
10,"Merry Christmas, Mr. Lawrence",1983,https://boxd.it/1SHu,
11,Magnolia,1999,https://boxd.it/2aze,
12,Harakiri,1962,https://boxd.it/1NTU,
13,Punch-Drunk Love,2002,https://boxd.it/20E4,
14,Lost in Translation,2003,https://boxd.it/2b0E,
15,"Paris, Texas",1984,https://boxd.it/29Ts,
16,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
17,The Graduate,1967,https://boxd.it/18Im,
18,Ghost World,2001,https://boxd.it/28Dy,
19,House,1977,https://boxd.it/1vsm,
20,Nashville,1975,https://boxd.it/25GE,
21,Do the Right Thing,1989,https://boxd.it/29gA,
22,Boogie Nights,1997,https://boxd.it/23um,
23,Fallen Angels,1995,https://boxd.it/1UkW,
24,Cléo from 5 to 7,1962,https://boxd.it/2agm,
25,Naked,1993,https://boxd.it/1BT4,
26,Ali: Fear Eats the Soul,1974,https://boxd.it/2aRi,
27,Good Morning,1959,https://boxd.it/2lkk,
28,Nowhere,1997,https://boxd.it/286E,
29,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
30,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
31,Withnail & I,1987,https://boxd.it/1Qa4,
32,Mystery Train,1989,https://boxd.it/1Ub6,
33,Eraserhead,1977,https://boxd.it/299u,
34,Fargo,1996,https://boxd.it/2aHM,
35,Mulholland Drive,2001,https://boxd.it/297o,
36,Short Cuts,1993,https://boxd.it/29Nk,
37,Bottle Rocket,1996,https://boxd.it/1PDa,
38,True Stories,1986,https://boxd.it/1wXU,
39,Badlands,1973,https://boxd.it/25Fm,
40,Sonatine,1993,https://boxd.it/20TI,
41,The Wizard of Oz,1939,https://boxd.it/29Xu,
42,Spirited Away,2001,https://boxd.it/2b4m,
43,Rumble Fish,1983,https://boxd.it/2aOI,
44,Uncle Boonmee Who Can Recall His Past Lives,2010,https://boxd.it/168Q,
45,Mary Poppins,1964,https://boxd.it/2aoA,
46,Memories of Murder,2003,https://boxd.it/1TSo,
47,The Apartment,1960,https://boxd.it/2aGE,
48,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs,
49,Shaun of the Dead,2004,https://boxd.it/29J8,
50,Vertigo,1958,https://boxd.it/2apI,
