Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-17,Great underseen movies,,https://boxd.it/f1i2i,films with <10k ratings that i think deserve more.

Position,Name,Year,URL,Description
1,Fighting Elegy,1966,https://boxd.it/WbU,
2,Youth in Fury,1960,https://boxd.it/4kdQ,
3,A Better Tomorrow III: Love and Death in Saigon,1989,https://boxd.it/ZQm,
4,Drifting Clouds,1996,https://boxd.it/20tU,
5,Hiruko the Goblin,1991,https://boxd.it/163c,
6,Prison on Fire,1987,https://boxd.it/w2C,
7,The Gold of Naples,1954,https://boxd.it/pTa,
8,Riff-Raff,1991,https://boxd.it/iXY,
9,Peking Opera Blues,1986,https://boxd.it/13fO,
10,Scandal,1950,https://boxd.it/1gG4,
11,No Regrets for Our Youth,1946,https://boxd.it/Um2,
12,The Seventh Curse,1986,https://boxd.it/12XA,
13,Dead or Alive,1999,https://boxd.it/1U9u,
14,$9.99,2008,https://boxd.it/1Fjk,
15,Desperate Living,1977,https://boxd.it/1Or8,
16,Woyzeck,1979,https://boxd.it/1Wyc,
17,Pigs and Battleships,1961,https://boxd.it/1jQG,
18,Youth of the Beast,1963,https://boxd.it/179q,
19,A Colt Is My Passport,1967,https://boxd.it/15la,
20,Shadows in Paradise,1986,https://boxd.it/73A,
21,Pickpocket,1997,https://boxd.it/zPi,
22,Platform,2000,https://boxd.it/2O0S,
23,Unknown Pleasures,2002,https://boxd.it/2NeY,
24,Brewster McCloud,1970,https://boxd.it/1tIi,
25,City on Fire,1987,https://boxd.it/XGY,
26,A Snake of June,2002,https://boxd.it/1fuQ,
27,Sebastiane,1976,https://boxd.it/Xog,
28,The Firm,1989,https://boxd.it/1IRO,
29,Three Outlaw Samurai,1964,https://boxd.it/jni,
30,State of Siege,1972,https://boxd.it/3dao,
31,The Lower Depths,1936,https://boxd.it/OFs,
32,The Merchant of Four Seasons,1972,https://boxd.it/1WzO,
33,Eight Hours Don’t Make a Day,1972,https://boxd.it/zgJ6,
