Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-15,hard-drive,,https://boxd.it/eYuQS,

Position,Name,Year,URL,Description
1,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
2,Magnolia,1999,https://boxd.it/2aze,
3,God's Own Country,2017,https://boxd.it/faZM,
4,Blow-Up,1966,https://boxd.it/2966,
5,Jam,2000,https://boxd.it/py5o,
6,13 Assassins,2010,https://boxd.it/jqc,
7,A Fistful of Dollars,1964,https://boxd.it/2auo,
8,A History of Violence,2005,https://boxd.it/2bfa,
9,A Serious Man,2009,https://boxd.it/1RFW,
10,Audition,1999,https://boxd.it/1UHm,
11,Bait,2019,https://boxd.it/lac8,
12,Bamboozled,2000,https://boxd.it/1xfa,
13,Barton Fink,1991,https://boxd.it/2aFQ,
14,Being John Malkovich,1999,https://boxd.it/2ahu,
15,Big Time,1988,https://boxd.it/Rk8,
16,Blue Collar,1978,https://boxd.it/1Nhm,
17,Boxcar Bertha,1972,https://boxd.it/1A58,
18,Boiling Point,1990,https://boxd.it/1sQA,
19,Braindead,1992,https://boxd.it/29Gy,
20,Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/1SIs,
21,Cape Fear,1991,https://boxd.it/28vu,
22,Chinatown,1974,https://boxd.it/29vU,
23,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
24,Cry-Baby,1990,https://boxd.it/1XRa,
25,Dirty Harry,1971,https://boxd.it/299E,
26,Dog Star Man,1965,https://boxd.it/eQCS,
27,Dogma,1999,https://boxd.it/284e,
28,Dragon Inn,1967,https://boxd.it/3xGa,
29,Drive My Car,2021,https://boxd.it/sv94,
30,Drug War,2012,https://boxd.it/3IcK,
31,Eastern Promises,2007,https://boxd.it/275q,
32,First Reformed,2017,https://boxd.it/go9C,
33,Fist of Fury,1972,https://boxd.it/1TaG,
34,Exiled,2006,https://boxd.it/1Pn2,
35,Hero,2002,https://boxd.it/2bcq,
36,Ida,2013,https://boxd.it/6fRg,
37,Jackie Brown,1997,https://boxd.it/2aVO,
38,Tiger on the Beat,1988,https://boxd.it/366,
39,Love Massacre,1981,https://boxd.it/5xXk,
40,Maps to the Stars,2014,https://boxd.it/4WCu,
41,Nashville,1975,https://boxd.it/25GE,
42,One-Eyed Jacks,1961,https://boxd.it/1Gyq,
43,Paper Moon,1973,https://boxd.it/1Ud2,
44,Project A,1983,https://boxd.it/1BLY,
45,Pusher,1996,https://boxd.it/27wG,
46,Pusher II,2004,https://boxd.it/1U7y,
47,Pusher 3,2005,https://boxd.it/1U7e,
48,Snatch,2000,https://boxd.it/2b7U,
49,The Double,2013,https://boxd.it/4DLW,
50,The Hustler,1961,https://boxd.it/298G,
51,The Man Who Fell to Earth,1976,https://boxd.it/298w,
52,The Neon Demon,2016,https://boxd.it/9AnW,
53,The Silence of the Lambs,1991,https://boxd.it/2aHW,
54,Trading Places,1983,https://boxd.it/28sK,
55,True Romance,1993,https://boxd.it/2aBa,
56,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,
57,The Grandmaster,2013,https://boxd.it/QU0,
