Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-08-18,HDS,,https://boxd.it/hTMF6,

Position,Name,Year,URL,Description
1,Inland Empire,2006,https://boxd.it/28d6,
2,The Green Mile,1999,https://boxd.it/2agG,
3,The Last Temptation of Christ,1988,https://boxd.it/1ULe,
4,Christine,1983,https://boxd.it/1ZRQ,
5,The Wrong Man,1956,https://boxd.it/1AqK,
6,The Straight Story,1999,https://boxd.it/2ass,
7,One from the Heart,1982,https://boxd.it/ZJq,
8,Pat Garrett & Billy the Kid,1973,https://boxd.it/1TvE,
9,The Pledge,2001,https://boxd.it/22hc,
10,Straight Time,1978,https://boxd.it/1zgu,
11,How the West Was Won,1962,https://boxd.it/1SPo,
12,Wise Blood,1979,https://boxd.it/Xxs,
13,One Hundred and One Nights,1995,https://boxd.it/3iuI,
14,Dillinger,1973,https://boxd.it/1qeu,
15,Harry Dean Stanton: Partly Fiction,2012,https://boxd.it/4fVo,
16,The Cowboy and the Frenchman,1988,https://boxd.it/3hG4,
17,The Fortune,1975,https://boxd.it/2tXY,
18,Hotel Room,1993,https://boxd.it/gBG,
19,Renaldo and Clara,1978,https://boxd.it/5dkW,
