Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-07,Mark Kermode's best films of the year,,https://boxd.it/j1caQ,As listed on Wikipedia

Position,Name,Year,URL,Description
1,Land and Freedom,1995,https://boxd.it/14Xi,
2,Crash,1996,https://boxd.it/29n2,
3,Boogie Nights,1997,https://boxd.it/23um,
4,The Celebration,1998,https://boxd.it/2aCM,
5,Audition,1999,https://boxd.it/1UHm,
6,Erin Brockovich,2000,https://boxd.it/2al2,
7,Ghost World,2001,https://boxd.it/28Dy,
8,Punch-Drunk Love,2002,https://boxd.it/20E4,
9,City of God,2002,https://boxd.it/2a2a,
10,Dogville,2003,https://boxd.it/2a8W,
11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
12,A History of Violence,2005,https://boxd.it/2bfa,
13,Pan's Labyrinth,2006,https://boxd.it/28No,
14,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,
15,Of Time and the City,2008,https://boxd.it/1mHi,
16,Let the Right One In,2008,https://boxd.it/1Qr0,
17,Inception,2010,https://boxd.it/1skk,
18,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
19,A Royal Affair,2012,https://boxd.it/37Kq,
20,Berberian Sound Studio,2012,https://boxd.it/3T30,
21,12 Years a Slave,2013,https://boxd.it/2D2e,
22,Good Vibrations,2012,https://boxd.it/4fWw,
23,The Babadook,2014,https://boxd.it/77xu,
24,Inside Out,2015,https://boxd.it/4KHC,
25,Under the Shadow,2016,https://boxd.it/d1uG,
26,Raw,2016,https://boxd.it/dLd2,
27,Leave No Trace,2018,https://boxd.it/fMfM,
28,Bait,2019,https://boxd.it/lac8,
29,Saint Maud,2019,https://boxd.it/l8QA,
30,Petite Maman,2021,https://boxd.it/s6je,
