Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-24,"offbeat comedy/""loser cinema""",,https://boxd.it/dNqou,a favourite subgenre of mine. films that deal with societal rejects/losers/misfits.

Position,Name,Year,URL,Description
1,Being John Malkovich,1999,https://boxd.it/2ahu,
2,Adaptation.,2002,https://boxd.it/26mA,
3,Ghost World,2001,https://boxd.it/28Dy,
4,The Graduate,1967,https://boxd.it/18Im,
5,Pink Flamingos,1972,https://boxd.it/29NO,
6,Office Space,1999,https://boxd.it/28Em,
7,Clerks,1994,https://boxd.it/2706,
8,The Comedy,2012,https://boxd.it/2XNO,
9,Sideways,2004,https://boxd.it/1Y5c,
10,Election,1999,https://boxd.it/1YEc,
11,The Lobster,2015,https://boxd.it/7tnw,
12,Crumb,1994,https://boxd.it/1tDi,
13,Bottle Rocket,1996,https://boxd.it/1PDa,
14,Welcome to the Dollhouse,1995,https://boxd.it/1TPO,
15,Happiness,1998,https://boxd.it/1VEe,
16,Storytelling,2001,https://boxd.it/1JYm,
17,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
18,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
19,Submarine,2010,https://boxd.it/H4a,
20,Observe and Report,2009,https://boxd.it/1Joe,
21,Burn After Reading,2008,https://boxd.it/23BW,
22,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
23,Four Lions,2010,https://boxd.it/18do,
24,A Serious Man,2009,https://boxd.it/1RFW,
25,Juno,2007,https://boxd.it/210a,
26,Shaun of the Dead,2004,https://boxd.it/29J8,
27,Punch-Drunk Love,2002,https://boxd.it/20E4,
28,Rushmore,1998,https://boxd.it/1TAO,
29,Withnail & I,1987,https://boxd.it/1Qa4,
30,Barton Fink,1991,https://boxd.it/2aFQ,
31,Delicatessen,1991,https://boxd.it/29lK,
32,Harold and Maude,1971,https://boxd.it/2axM,
33,Eating Raoul,1982,https://boxd.it/1owc,
34,The Apartment,1960,https://boxd.it/2aGE,
35,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
36,True Stories,1986,https://boxd.it/1wXU,
37,Magnolia,1999,https://boxd.it/2aze,
38,Boogie Nights,1997,https://boxd.it/23um,
39,Putney Swope,1969,https://boxd.it/1gV4,
40,Trainspotting,1996,https://boxd.it/29XY,
41,Broken Flowers,2005,https://boxd.it/2aCW,
42,The Big Lebowski,1998,https://boxd.it/2b6C,
43,Raising Arizona,1987,https://boxd.it/2avQ,
44,American Movie,1999,https://boxd.it/1Oty,
45,UHF,1989,https://boxd.it/1SFI,
46,Idiocracy,2006,https://boxd.it/20RW,
47,Beavis and Butt-Head Do America,1996,https://boxd.it/25zo,
48,Freddy Got Fingered,2001,https://boxd.it/1QGk,
