Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-09,Spooky Season 2021: October Watchlist,,https://boxd.it/dl9rA,Films I plan to watch over this festive period

Position,Name,Year,URL,Description
1,Videodrome,1983,https://boxd.it/29uC,"<i>(i agree with none of this now, so look at this this as like, archival or something)</i>

One of the most frustrating movies I think I've ever seen. A complete mess - initially a pretty broad critique of ""The Media"", the film quickly abandons that framework and devolves into a sluggish and self-centred display that ultimately doesn't seem to have the confidence to back up its own philosophy. The effects are solid, but not only does it feel undeserved, it feels almost gutless. If I were to use Cronenberg's most celebrated film as an example, The Fly is able to balance its body horror with characters we can at least feel some sympathy for; these characters feel like allegories without allegories, symbols that don't really represent anything other than tropey character-traits that don't even really get developed past the half-hour mark. Cronenberg is a talented filmmaker, and it's admirable that a film like this could even exist in the mid-80s American circuit, but it is still wildly inconsistent and seems to talk a lot while saying very, very little."
2,The Hunger,1983,https://boxd.it/1Tk2,"What a gorgeous movie. Great performances and an unrelentingly dreamy vibe - it's a genre film through-and-through, yet feels as though it exists in several different worlds. Tony Scott is seemingly able to pull the film wherever he pleases, matching up frenetically-edited gothic horror with a vivid sense of sensuality and use of the frame, a-la Blue Velvet, or the 70s-era Hitchcock that influenced both. It's not a perfect film but I have nothing but admiration for its dedication to such a unique aesthetic, and it is able to create a more vivid sense of fear than any of the gross-out body horror/slasher films from the time. Maybe a good double-feature with Roeg's Don't Look Now?

10/10 would bang 129 year-old david bowie"
3,Don't Look Now,1973,https://boxd.it/29fC,"One of the best ""horror"" films of its era, or any era. Such a powerful and unique meditation on loss, grief, spirituality and premonition, set in front of a gorgeous Venetian backdrop. Pleasance and Christie deliver career-defining performances, and Roeg proves himself to be a master unrestrained by genre. One of the best British films ever made."
4,Repo Man,1984,https://boxd.it/1Plg,"Hadn't seen this one in years, and was pleased to find it really holds up. While I do think it drags a little bit in the last third, there's still so much to love - Alex Cox's clear passion for filmmaking was evident right from the beginning, shooting Los Angeles so vividly and beautifully, and seeing Harry Dean Stanton in a top-billing role is always good. There's not much to be said about this film that hasn't been said already, but it's obviously a shame that Alex Cox's career as a filmmaker didn't continue past Walker (a film I will someday write at length about), and I do kind of wish he had the opportunity to make a major studio genre film like this again."
5,The Brood,1979,https://boxd.it/1ovS,"So glad to finally be able to say I love a Cronenberg movie. Just a fascinating look into his mind, on top of being genuinely scary and perfectly paced. I wish all Divorced Directors™ made films this good."
6,The Evil Dead,1981,https://boxd.it/29Go,"A long-standing favourite of mine, but after several viewings over the years it does kinda get a bit harder to sit through, mainly because almost everything in this film was improved upon in its sequel. Still, a fun one to come back to once in a while, and totally changed my perspective on film when I first saw it."
7,Evil Dead II,1987,https://boxd.it/29Ge,"I mean, I wouldn't even be watching movies if it weren't for this. Sparked my passion for horror cinema, crazy and inventive visual techniques, and Bruce Campbell. It's perfect."
