Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-17,WA (not that one),,https://boxd.it/iiHb6,

Position,Name,Year,URL,Description
1,Rushmore,1998,https://boxd.it/1TAO,
2,Bottle Rocket,1996,https://boxd.it/1PDa,
3,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
4,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
5,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
6,Moonrise Kingdom,2012,https://boxd.it/2Wng,
7,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
8,The French Dispatch,2021,https://boxd.it/jLP8,
9,The Darjeeling Limited,2007,https://boxd.it/24as,
