Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-04-14,MST3K Hobgoblins,,,4,,,2017-04-13
2017-04-18,MST3K Mitchell,,,4,,,2017-04-18
2017-04-22,Getting Made: The Making of 'GoodFellas',2004,,3,,,2017-04-21
2017-05-07,MANT!,1993,,3,,,2017-05-07
2017-06-17,Blob Town,2010,,4,,,2017-06-16
2018-02-22,The 3 Rs,2011,,3.5,,,2018-02-21
2018-02-27,The Mystery of the Seeing Hand,2010,,3,,,2018-02-26
2018-02-27,Absurda,2007,,3,,,2018-02-26
2018-04-17,Karate Dragon Brothers,2017,,1.5,,,2018-04-16
2018-04-19,Three Friends at the Beach Make a Movie,2018,,5,,,2018-04-18
2018-09-24,Greed,2009,,2,,,2018-09-24
2018-10-29,Rubber Johnny,2005,,3.5,,,2018-10-29
2020-03-28,Objects That I Have Shoved Up My Arse,2013,,,,,2020-03-28
2020-05-12,Kickassia,2010,,1,,,2020-05-12
