Date,Name,Year,Letterboxd URI
2017-04-16,The Siege of Pinchgut,1959,https://boxd.it/3Ljk
2017-04-20,Logan's Run,1976,https://boxd.it/1Vma
2017-04-20,The Andromeda Strain,1971,https://boxd.it/1W4Q
2017-04-20,Rubber,2010,https://boxd.it/P2m
2017-04-30,The Kung Fu Cult Master,1993,https://boxd.it/1Veq
2017-04-30,Nightbreed,1990,https://boxd.it/1Dq4
2017-05-01,The Battery,2012,https://boxd.it/5qMk
2017-05-06,Piranha,1978,https://boxd.it/1wTI
2017-05-06,Hoop Dreams,1994,https://boxd.it/1Opc
2017-05-06,Best Worst Movie,2009,https://boxd.it/10RU
2017-05-11,The Cannonball Run,1981,https://boxd.it/1UdQ
2017-05-17,Starcrash,1978,https://boxd.it/1B88
2017-05-23,The Kentucky Fried Movie,1977,https://boxd.it/1TsA
2017-05-24,Body Bags,1993,https://boxd.it/1iNc
2017-05-24,Twilight Zone: The Movie,1983,https://boxd.it/1Mtw
2017-05-24,Trick 'r Treat,2007,https://boxd.it/1zvE
2017-05-25,A Short Film About Killing,1988,https://boxd.it/1VtK
2017-05-28,The Stuff,1985,https://boxd.it/1GQa
2017-05-28,Raw,2016,https://boxd.it/dLd2
2017-06-01,Doctor Zhivago,1965,https://boxd.it/29jk
2017-06-01,Angel's Egg,1985,https://boxd.it/1LeA
2017-06-01,Waltz with Bashir,2008,https://boxd.it/1ZFA
2017-06-01,Metropia,2009,https://boxd.it/19N8
2017-06-01,Wrong,2012,https://boxd.it/2V5K
2017-06-02,Dark City,1998,https://boxd.it/26uk
2017-06-04,Fright Night,2011,https://boxd.it/l1S
2017-06-04,The Driver,1978,https://boxd.it/27jW
2017-06-05,Marnie,1964,https://boxd.it/2afe
2017-06-06,Maximum Overdrive,1986,https://boxd.it/1XnO
2017-06-06,Pandorum,2009,https://boxd.it/1Eo4
2017-06-06,Hardcore Henry,2015,https://boxd.it/aAIM
2017-06-07,All That Jazz,1979,https://boxd.it/1JB8
2017-06-10,Spider,2002,https://boxd.it/1YeI
2017-06-12,The Warriors,1979,https://boxd.it/1TLC
2017-06-15,The Road,2009,https://boxd.it/1CWI
