Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-15,femme attic,,https://boxd.it/iHwbE,

Position,Name,Year,URL,Description
1,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
2,Vivarium,2019,https://boxd.it/gmVE,
3,Wolfwalkers,2020,https://boxd.it/fGrC,
4,Pan's Labyrinth,2006,https://boxd.it/28No,
5,The Faculty,1998,https://boxd.it/1Z5C,
6,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,
7,Bring It On,2000,https://boxd.it/28x6,
8,Mulholland Drive,2001,https://boxd.it/297o,
9,Coherence,2013,https://boxd.it/6xza,
10,Thir13en Ghosts,2001,https://boxd.it/1YPO,
11,The Stepford Wives,1975,https://boxd.it/1Sfq,
12,James Acaster: Repertoire,2018,https://boxd.it/iFXy,
13,Emma.,2020,https://boxd.it/kmg0,
14,Panic Room,2002,https://boxd.it/2490,
