Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-14,henri,,https://boxd.it/nivWO,

Position,Name,Year,URL,Description
1,My Own Private Idaho,1991,https://boxd.it/2ak4,
2,The To Do List,2013,https://boxd.it/4dAo,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,Barbie,2023,https://boxd.it/bCLK,
5,Pi,1998,https://boxd.it/2ajq,
6,All Quiet on the Western Front,2022,https://boxd.it/H08,
7,The Hunt,2012,https://boxd.it/3wEC,
8,Super Troopers,2001,https://boxd.it/12Rs,
9,Drunken Master,1978,https://boxd.it/1Ujk,
10,Speed,1994,https://boxd.it/28qk,
11,RoboCop,1987,https://boxd.it/22Wu,
12,Knife+Heart,2018,https://boxd.it/h5ko,
13,An American Werewolf in London,1981,https://boxd.it/29yk,
14,Her,2013,https://boxd.it/4O24,
15,SLC Punk,1998,https://boxd.it/21JY,
16,Spree,2020,https://boxd.it/oiiO,
17,The King of Comedy,1982,https://boxd.it/2aJS,
18,The Raid,2011,https://boxd.it/3hBy,
19,Drive,2011,https://boxd.it/IG,
20,Another Round,2020,https://boxd.it/lkba,
21,Punch-Drunk Love,2002,https://boxd.it/20E4,
22,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
23,Society,1989,https://boxd.it/1ARc,
24,The Worst Person in the World,2021,https://boxd.it/oyws,
25,Death Proof,2007,https://boxd.it/27GG,
26,Mandy,2018,https://boxd.it/gtti,
27,Triangle of Sadness,2022,https://boxd.it/hXlq,
28,Charlie's Angels,2000,https://boxd.it/24v6,
29,Charlie's Angels: Full Throttle,2003,https://boxd.it/1YB8,
30,Minari,2020,https://boxd.it/mL9M,
31,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
32,The Fly,1986,https://boxd.it/1YIe,
33,Train to Busan,2016,https://boxd.it/dSQU,
34,The Belko Experiment,2016,https://boxd.it/blCw,
35,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
36,Tron,1982,https://boxd.it/2b9w,
37,Prisoners,2013,https://boxd.it/4E5i,
38,Airplane!,1980,https://boxd.it/29yu,
39,Amélie,2001,https://boxd.it/2aUc,
40,Evil Dead II,1987,https://boxd.it/29Ge,
41,Weekend at Bernie's,1989,https://boxd.it/204U,
42,Kick-Ass,2010,https://boxd.it/1zaQ,
43,Bottoms,2023,https://boxd.it/uGf2,
44,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,
45,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,
46,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
47,Shiva Baby,2020,https://boxd.it/oIv0,
48,Sorry to Bother You,2018,https://boxd.it/f21E,
49,The Fifth Element,1997,https://boxd.it/71k,
50,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,
51,Fargo,1996,https://boxd.it/2aHM,
52,Thelma & Louise,1991,https://boxd.it/28Ew,
53,Jennifer's Body,2009,https://boxd.it/1Efw,
54,Werewolves Within,2021,https://boxd.it/u8fC,
55,Fright Night,2011,https://boxd.it/l1S,
56,Men in Black,1997,https://boxd.it/2a0I,
57,Zola,2020,https://boxd.it/jEWQ,
58,Locke,2013,https://boxd.it/6hHC,
59,How to Blow Up a Pipeline,2022,https://boxd.it/C69e,
60,The Blob,1988,https://boxd.it/1YgY,
61,Fighting with My Family,2019,https://boxd.it/fRyO,
62,"Night Is Short, Walk on Girl",2017,https://boxd.it/ffwA,
63,Flash Gordon,1980,https://boxd.it/257a,
64,Magic Mike,2012,https://boxd.it/2HvY,
65,Viy,1967,https://boxd.it/nd2,
66,Goblin,2020,https://boxd.it/svAk,
67,Let the Right One In,2008,https://boxd.it/1Qr0,
68,Paddington,2014,https://boxd.it/3RKw,
69,Rear Window,1954,https://boxd.it/2a6Q,
70,Ms .45,1981,https://boxd.it/1AWG,
71,Ad Astra,2019,https://boxd.it/ePzI,
72,Shock Treatment,1981,https://boxd.it/1qui,
73,Argo,2012,https://boxd.it/2czU,
74,Mickey 17,2024,https://boxd.it/q1Dk,
75,Kinsey,2004,https://boxd.it/1UqK,
76,My Life as a Zucchini,2016,https://boxd.it/dL2y,
77,The Lair of the White Worm,1988,https://boxd.it/1U4u,
78,Nope,2022,https://boxd.it/sDCe,
79,Decision to Leave,2022,https://boxd.it/qp9e,
80,The Woman King,2022,https://boxd.it/r9a8,
81,Freaks,2018,https://boxd.it/jFUm,
82,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
83,The Lost Boys,1987,https://boxd.it/28DI,
84,OMG: Oh My God!,2012,https://boxd.it/4nuA,
85,A Serious Man,2009,https://boxd.it/1RFW,
86,Searching,2018,https://boxd.it/hDPg,
87,All About My Mother,1999,https://boxd.it/2b9c,
88,Lady Snowblood,1973,https://boxd.it/26Fi,
89,Edge of Tomorrow,2014,https://boxd.it/4pD0,
90,Thoroughbreds,2017,https://boxd.it/dVHQ,
91,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
92,Cocaine Bear,2023,https://boxd.it/ugw2,
93,Sick of Myself,2022,https://boxd.it/tEzs,
