Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-29,Horse cocks anonymous ,,https://boxd.it/nyxwA,

Position,Name,Year,URL,Description
1,St. Trinian's,2007,https://boxd.it/1VuI,
2,"Faster, Pussycat! Kill! Kill!",1965,https://boxd.it/2aBO,
3,Charlie's Angels,2000,https://boxd.it/24v6,
4,"I, Tonya",2017,https://boxd.it/dzR0,
5,Uncut Gems,2019,https://boxd.it/gXGc,
6,Airplane!,1980,https://boxd.it/29yu,
7,"Girl, Interrupted",1999,https://boxd.it/25ds,
8,The Nice Guys,2016,https://boxd.it/94Hg,
9,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
10,Carol,2015,https://boxd.it/7DPK,
11,Children of Men,2006,https://boxd.it/1Y2i,
12,The Lighthouse,2019,https://boxd.it/icFU,
13,Child's Play,1988,https://boxd.it/1VTo,
14,Logan,2017,https://boxd.it/7Piy,
15,The Holy Mountain,1973,https://boxd.it/20mu,
16,Persepolis,2007,https://boxd.it/27DC,
17,Psycho,1960,https://boxd.it/2ab2,
18,Song of the Sea,2014,https://boxd.it/3Ic6,
19,Dallas Buyers Club,2013,https://boxd.it/4O8G,
